date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-24,0,0,0,0,0.0,0.1,0
2016-02-12,0,0,0,0,0.0,0.0,0
2016-02-16,0,0,0,0,0.0,0.0,0
2016-03-29,0,0,0,0,0.0,0.0,0
2016-05-18,0,1,0,0,0.0,0.0,0
2016-05-25,0,0,0,0,0.0,0.0,0
2016-08-18,0,0,0,0,0.0,0.0,0
2016-09-28,0,0,0,0,0.0,0.0,0
2016-11-21,0,0,0,0,0.0,0.0,0
2016-11-22,0,0,0,0,0.0,0.0,0
2016-12-21,0,0,0,0,0.0,0.75,0
2017-02-23,0,0,0,0,0.0,0.0,0
2017-05-25,0,0,0,0,0.0,0.0,0
2017-08-17,0,0,0,0,0.0,0.0,0
2017-08-24,0,0,0,0,0.0,0.0,0
2017-09-27,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.55,0.95,0
2017-10-24,0,1,0,0,0.0,0.25,0
2017-10-26,0,0,0,0,0.0,0.0666666666667,0
2017-10-30,0,1,0,0,0.725,1.34166666667,0
2017-10-31,0,1,0,0,0.0,0.0,0
2017-11-01,0,1,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.1,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,-0.1,0.4,0
2017-11-08,0,0,0,0,0.5,0.5,0
2017-11-09,0,0,0,0,2.1,0.9,0
2017-11-10,0,0,0,0,0.2,0.2,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,1,0,0,-0.00892857142857,1.91785714286,0
2017-11-14,0,3,0,0,0.16,0.54,0
2017-11-15,0,0,0,0,0.7,0.7,0
2017-11-16,0,0,0,0,0.0,0.0,0
