date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-19,0,0,0,0,0.0,0.0,0
2015-12-08,0,0,0,0,0.0,0.0,0
2016-01-21,0,0,0,0,0.0,0.0,0
2016-01-25,0,0,0,0,0.0,0.0,0
2016-01-26,0,0,0,0,0.0,0.0384615384615,0
2016-01-28,0,0,0,0,0.0,0.0,0
2016-02-02,0,0,0,0,0.0,0.0,0
2016-02-03,0,0,0,0,0.0,0.0,0
2016-02-22,0,0,0,0,0.0,0.0,0
2016-02-24,0,0,0,0,0.0,0.0,0
2016-02-29,0,0,0,0,0.0,0.0,0
2016-03-07,0,0,0,0,0.0,0.0,0
2016-03-08,0,0,0,0,0.0,0.0,0
2016-03-18,0,0,0,0,0.0,0.0,0
2016-04-26,0,0,0,0,0.0,0.0,0
2016-05-12,0,0,0,0,0.0,0.0,0
2016-05-17,0,0,0,0,0.0,0.0,0
2016-05-26,0,0,0,0,0.0965909090909,0.301136363636,0
2016-06-01,0,0,0,0,0.0,0.0,0
2016-06-02,0,0,0,0,0.0,0.666666666667,0
2016-06-07,0,0,0,0,0.0,0.0,0
2016-06-14,0,0,0,0,0.0,0.0,0
2016-06-23,0,0,0,0,0.0,1.0,0
2016-06-29,0,0,0,0,0.0,0.0,0
2016-07-12,0,0,0,0,0.136363636364,0.454545454545,0
2016-07-18,0,0,0,0,0.0,0.0,3
2016-07-26,0,0,0,0,0.0,0.701923076923,0
2016-07-27,0,0,0,0,0.0,0.0,0
2016-08-01,0,0,0,0,0.1,0.3,0
2016-08-03,0,0,0,0,0.0,0.0,0
2016-08-15,0,0,0,0,0.0,0.0,0
2016-08-24,0,0,0,0,0.0,0.0,0
2016-08-25,0,0,0,0,0.0,0.0,0
2016-08-31,0,0,0,0,0.0,0.0,0
2016-09-01,0,0,0,0,0.0,0.0,0
2016-09-16,0,0,0,0,0.0,0.0,0
2016-09-22,0,0,0,0,0.0,0.0,0
2016-09-26,0,0,0,0,0.0681818181818,0.227272727273,0
2016-09-29,0,0,0,0,0.0,0.0,0
2016-10-03,0,0,0,0,0.0,0.0,0
2016-10-05,0,0,0,0,-0.6,1.0,0
2016-10-11,0,0,0,0,0.0,0.0,0
2016-10-17,0,0,0,0,0.0,0.0,4
2016-10-21,0,0,0,0,0.0681818181818,0.727272727273,0
2016-10-25,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-11-01,0,1,0,0,0.0,0.0,0
2016-11-04,0,0,0,0,0.0,0.0,0
2016-11-15,0,0,0,0,0.0,0.0,0
2016-11-16,0,0,0,0,0.0,0.0,0
2016-12-01,0,0,0,0,0.0,0.0,0
2016-12-13,0,0,0,0,0.0,0.0,0
2017-01-12,0,0,0,0,0.0681818181818,0.227272727273,0
2017-01-17,0,0,0,0,0.0,0.0,0
2017-01-23,0,0,0,0,0.5,0.75,0
2017-01-31,0,0,0,0,0.0,0.0769230769231,0
2017-02-02,0,0,0,0,0.0,0.0,0
2017-02-03,0,0,0,0,0.5,0.75,0
2017-02-07,0,0,0,0,0.0,0.0,0
2017-02-16,0,0,0,0,0.0,0.0,0
2017-03-03,0,0,0,0,0.0,0.0,0
2017-03-06,0,0,0,0,0.0,0.0,0
2017-04-11,0,0,0,0,0.0,0.0,0
2017-04-18,0,0,0,0,0.0,0.0,0
2017-04-25,0,0,0,0,0.0,0.0,0
2017-05-05,0,0,0,0,0.0,0.0,0
2017-05-23,0,0,0,0,0.0,0.0,0
2017-05-31,0,0,0,0,0.0,0.0,0
2017-06-01,0,0,0,0,0.136363636364,0.454545454545,0
2017-06-07,0,0,0,0,0.116666666667,0.483333333333,0
2017-06-13,0,0,0,0,0.0,0.0,0
2017-06-26,0,0,0,0,0.0,0.0,0
2017-06-30,0,0,0,0,0.0,0.0,0
2017-07-12,0,0,0,0,0.0,0.0,0
2017-07-13,0,0,0,0,0.136363636364,0.454545454545,0
2017-07-18,0,0,0,0,0.0,0.0,0
2017-07-25,0,0,0,0,0.0,0.0769230769231,0
2017-07-28,0,0,0,0,0.0,0.0,0
2017-08-04,0,0,0,0,0.0,0.0,0
2017-08-07,0,1,0,0,0.0,0.0,0
2017-08-14,0,0,0,0,0.0,0.0,0
