date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2014-09-10,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.0,0.25,0
2017-10-22,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,1,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,1,1,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,-0.2,0.1,0
2017-10-31,0,0,0,0,0.0,0.1,0
2017-11-01,0,0,0,0,-0.4,0.7,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,1,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.0,0.25,0
2017-11-09,0,0,0,0,0.0625,1.5,0
2017-11-10,0,1,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.5,0.6,0
2017-11-14,0,0,0,0,1.18636363636,3.85454545455,0
2017-11-15,0,2,0,0,0.9,1.925,0
2017-11-16,0,1,0,0,0.0,0.0,0
