date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-08-02,0,0,0,0,0.0,0.0,0
2016-11-01,0,0,0,0,0.0,0.0,0
2017-05-23,0,0,1,0,-0.3,0.5,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-20,0,1,0,0,0.0,0.0,0
2017-10-22,0,0,1,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.1,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-30,0,1,0,0,1.5,0.8,0
2017-10-31,0,1,0,0,-0.25,1.7,0
2017-11-01,0,0,0,0,-0.2,0.1,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.5,1.1,0
2017-11-05,0,0,1,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.55,0.7,0
2017-11-07,0,1,0,0,-0.05,0.6,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,0.6,0.95,0
2017-11-12,0,0,1,0,0.0,0.0,0
2017-11-13,0,1,0,0,0.55,2.3,0
2017-11-14,0,0,1,0,1.1,3.1,0
2017-11-15,0,1,0,0,0.3,0.9,0
2017-11-16,0,0,1,0,-0.2,0.4,0
