date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-15,0,0,0,0,0.0,0.0,0
2016-05-09,0,0,0,0,0.0,0.0,0
2016-08-03,0,0,0,0,0.0,0.0,0
2016-08-08,0,0,0,0,0.0,0.0,0
2016-09-13,0,0,0,0,0.0,0.0,0
2016-10-31,0,0,0,0,0.0,0.0,0
2016-11-07,0,0,0,0,0.0,0.0,0
2017-02-15,0,0,0,0,0.0,0.0,0
2017-03-20,0,0,0,0,0.0,0.375,0
2017-05-22,0,0,0,0,0.0,0.0,0
2017-06-23,0,0,0,0,0.0,0.0,0
2017-08-02,0,0,0,0,0.0,0.0,0
2017-08-08,0,0,0,0,0.0,0.0,0
2017-10-16,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,-0.05,0.2,0
2017-10-22,0,0,0,0,-0.1,0.15,0
2017-10-23,0,1,1,0,0.075,0.625,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,1,0,0,-0.277777777778,0.494444444444,0
2017-10-28,0,0,1,0,0.4,1.3,0
2017-10-29,0,1,0,0,0.0585858585859,0.59898989899,0
2017-10-30,0,0,0,0,0.436363636364,0.954545454545,0
2017-10-31,0,0,0,0,0.0,0.65,0
2017-11-01,0,1,0,0,0.0,0.0,0
2017-11-02,0,0,1,0,-0.15,0.1,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,0.3,0.475,0
2017-11-06,0,0,0,0,0.0,0.0625,0
2017-11-07,0,0,0,0,-0.1,0.4,0
2017-11-09,0,0,1,0,-0.2,0.9,0
2017-11-10,0,0,0,0,-0.15,0.25,0
2017-11-11,0,0,0,0,0.1,0.825,0
2017-11-12,0,0,0,0,0.025,0.25,0
2017-11-13,0,0,0,0,-0.6,1.0,0
2017-11-14,0,0,0,0,0.0,0.0,0
2017-11-15,0,1,0,0,0.0,0.0,0
