date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-28,0,0,0,0,0.0,0.0,0
2016-01-22,0,0,0,0,0.0,0.0,0
2016-04-16,0,0,0,0,0.0,0.0,0
2016-04-20,0,0,0,0,0.0,0.0,0
2016-05-19,0,0,0,0,0.0,0.0,0
2016-05-26,0,0,0,0,0.0,0.0,0
2016-06-10,0,0,0,0,0.0,0.0,0
2016-07-12,0,0,0,0,0.0,0.0,0
2016-07-20,0,0,0,0,0.0,0.0,0
2016-08-03,0,0,0,0,-0.125,0.375,0
2016-08-09,0,1,0,0,0.0,0.0,0
2016-09-01,0,1,0,0,0.0,0.0,0
2016-09-06,0,0,0,0,0.0,0.0,0
2016-09-07,0,0,1,0,0.0,0.0,0
2016-09-15,0,0,0,0,0.0,0.0,0
2016-09-16,0,0,0,0,0.0,0.0,0
2016-09-19,0,0,0,0,0.0,0.0,0
2016-10-18,0,0,0,0,-0.1,0.1,0
2016-10-24,0,0,0,0,0.0,0.0,0
2016-11-03,0,0,0,0,0.0,0.0,0
2016-11-16,0,0,0,0,0.0,0.0,0
2016-11-21,0,0,0,0,0.2,0.3,0
2016-12-16,0,0,0,0,-0.1,0.6,0
2017-01-23,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,0.0,0.0,0
2017-02-08,0,0,0,0,0.0,0.0,0
2017-02-09,0,0,0,0,0.0,0.0,0
2017-02-10,0,0,0,0,0.0,0.0,0
2017-02-21,0,0,0,0,0.0,0.0,0
2017-03-06,0,0,0,0,0.0,0.0,0
2017-03-23,0,0,0,0,-0.1,0.6,0
2017-04-05,0,0,0,0,0.5,0.875,0
2017-04-06,0,0,0,0,0.0,0.75,0
2017-05-03,0,0,0,0,0.05,0.5,0
2017-05-24,0,1,0,0,0.0,0.0,0
2017-06-01,0,0,0,0,0.0625,0.5,0
2017-06-12,0,0,0,0,-0.1,0.4,0
2017-06-13,0,0,0,0,0.0,0.0,0
2017-06-14,0,0,0,0,0.0,0.0,0
2017-06-22,0,0,0,0,0.5,0.875,0
2017-07-10,0,0,0,0,0.0,0.0,0
2017-07-13,0,0,0,0,0.0,0.0,0
2017-07-14,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,0.0,0
2017-07-21,0,0,0,0,0.0,0.0,0
2017-07-31,0,0,0,0,0.5,0.875,0
2017-08-03,0,0,0,0,0.0,0.0,0
2017-08-08,0,0,0,0,0.0,0.0,0
2017-08-14,0,0,0,0,0.0,0.0,0
2017-08-16,0,0,0,0,0.0,0.0,0
2017-08-18,0,0,0,0,0.0,0.0,0
2017-08-21,0,0,0,0,0.0,0.0,0
2017-08-28,0,0,0,0,0.0,0.0,0
2017-09-14,0,0,0,0,0.0,0.0,0
2017-09-18,0,0,0,0,0.0,0.0,0
2017-09-21,0,0,0,0,0.0,0.0,0
2017-09-27,0,0,0,0,0.0,0.0,0
2017-09-28,0,0,0,0,0.0,0.0,0
2017-10-12,0,0,0,0,-0.2,0.4,0
2017-10-17,0,1,0,0,0.233333333333,1.63333333333,0
2017-10-18,0,0,0,0,0.272727272727,0.909090909091,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-22,0,0,0,0,0.0,0.375,0
2017-10-23,0,2,0,0,0.5,0.5,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,1,0,0,0.977777777778,1.62222222222,0
2017-10-26,0,0,0,0,0.933333333333,1.23333333333,4
2017-10-29,0,0,0,0,-0.3,0.6,0
2017-10-30,0,0,0,0,0.0,0.1,0
2017-10-31,0,0,0,0,0.0,0.0,0
2017-11-01,0,1,0,0,0.285714285714,0.535714285714,0
2017-11-02,0,0,0,0,0.25,0.5,0
2017-11-03,0,0,0,0,0.4,0.9,0
2017-11-06,0,0,0,0,0.386363636364,0.954545454545,0
2017-11-07,0,0,1,0,0.0,1.0,0
2017-11-08,0,1,1,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,0.0,0.5,0
2017-11-13,0,0,0,0,1.71818181818,1.92727272727,0
2017-11-14,0,1,0,0,2.0,2.1,0
2017-11-15,0,0,0,0,0.5,0.7,0
2017-11-16,0,1,0,0,-0.2,1.0,0
