date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2017-10-15,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,1,0.136363636364,0.454545454545,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.5,0.5,0
2017-10-24,0,1,0,0,0.764935064935,2.4474025974,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,1,0,0,0.272727272727,0.909090909091,0
2017-10-28,0,0,0,1,-0.531818181818,1.27727272727,0
2017-10-29,0,0,0,1,-0.5,1.1,0
2017-10-30,0,0,0,0,-0.5,1.1,0
2017-11-01,0,1,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,-0.4,0.7,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,-0.263636363636,1.15454545455,0
2017-11-09,0,0,0,1,-0.131818181818,0.577272727273,0
2017-11-12,0,0,0,0,-0.4,0.7,0
2017-11-13,0,0,0,2,0.272727272727,0.909090909091,0
2017-11-14,0,0,0,0,0.16,0.54,0
