date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-23,0,0,0,0,0.0,0.0,0
2015-12-01,0,0,0,0,0.0,0.0,0
2015-12-07,0,0,0,0,0.0,0.0,0
2016-01-05,0,0,0,0,0.0,0.0,0
2016-02-02,0,0,0,0,-0.1,0.1,0
2016-02-03,0,0,0,0,0.0,0.0,0
2016-02-17,0,0,0,0,0.0,0.0,0
2016-02-23,0,0,0,0,0.0,0.0,0
2016-03-01,0,0,0,0,0.164285714286,0.446428571429,0
2016-03-22,0,0,0,0,0.0,0.0,0
2016-04-12,0,0,0,0,0.0,0.0,0
2016-04-26,0,0,0,0,0.3,0.2,0
2016-05-04,0,0,0,0,-0.8,1.0,0
2016-05-31,0,0,0,0,0.0,0.0,0
2016-06-07,0,0,0,0,0.3,0.2,0
2016-06-14,0,0,0,0,-0.1,0.1,0
2016-07-14,0,0,0,0,0.0,0.0,0
2016-07-15,0,0,0,0,0.0,0.0,0
2016-07-26,0,0,0,0,0.0,0.0,0
2016-08-09,0,0,0,0,0.0,0.0,0
2016-08-11,0,0,0,0,0.3,0.2,0
2016-08-24,0,0,0,0,0.0,0.0,0
2016-10-19,0,0,0,0,0.3,0.2,0
2016-10-24,0,0,0,0,0.3,0.2,0
2016-10-25,0,0,0,0,0.275,0.266666666667,0
2016-11-01,0,0,0,0,0.0,0.0,0
2016-11-03,0,0,0,0,0.0,0.0,0
2016-11-22,0,0,0,0,0.0,0.0,0
2016-11-23,0,0,0,0,0.0,0.0,0
2016-12-01,0,0,0,0,0.0,0.0,0
2016-12-09,0,0,0,0,0.0,0.75,0
2017-01-03,0,0,0,0,0.0,0.0,0
2017-01-19,0,0,0,0,0.0,0.0,0
2017-01-29,0,0,0,0,0.0,0.0,0
2017-02-20,0,0,0,0,0.0,0.0,0
2017-02-28,0,0,0,0,0.0,0.0,0
2017-03-01,0,0,0,0,0.328571428571,0.385714285714,0
2017-03-14,0,0,0,0,0.15,0.15,0
2017-03-16,0,0,0,0,0.136363636364,0.454545454545,0
2017-03-21,0,0,0,0,0.0,0.0,0
2017-04-25,0,0,0,0,0.0,0.0,0
2017-05-18,0,0,0,0,0.0,0.0,0
2017-06-13,0,0,0,0,-0.133333333333,0.6,0
2017-06-14,0,0,0,0,-0.15,0.1,0
2017-07-18,0,0,0,0,0.0625,0.5,0
2017-07-20,0,0,0,0,0.218181818182,0.327272727273,0
2017-07-31,0,0,0,0,0.0,0.0,0
2017-08-10,0,0,0,0,0.0,0.0,0
2017-08-15,0,0,0,0,0.16,0.54,0
2017-08-16,0,0,0,0,0.0,0.0,0
2017-08-30,0,0,0,0,0.0,0.0,0
2017-09-06,0,0,0,0,0.0,0.0,0
2017-09-19,0,0,0,0,0.25,0.333333333333,0
2017-09-26,0,0,0,0,0.0,0.0,0
2017-09-27,0,0,0,0,0.0,0.0,0
2017-09-28,0,0,0,0,0.3,0.2,0
2017-09-29,0,0,0,0,0.0,0.0,0
2017-10-04,0,0,0,0,0.0,0.0,0
2017-10-11,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.3,0.2,0
2017-10-22,0,0,0,0,0.16,0.54,0
2017-10-23,0,1,0,0,0.0,0.0,0
2017-10-24,0,1,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.375,0.5,0
2017-10-26,0,0,0,0,0.136363636364,0.454545454545,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-29,0,0,0,0,0.0,0.0,0
2017-10-30,0,1,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,-0.15,0.4,0
2017-11-01,0,0,0,0,-0.1,0.4,0
2017-11-02,0,0,0,0,0.0,0.1,0
2017-11-03,0,1,0,0,0.16,0.54,0
2017-11-04,0,0,0,1,0.0,0.0,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.3,0.1,0
2017-11-10,0,0,0,0,-0.4,0.7,0
2017-11-11,0,0,0,0,-0.25,0.8,0
2017-11-13,0,0,0,0,-0.0714285714286,0.142857142857,0
2017-11-14,0,0,0,0,0.736363636364,1.40454545455,0
2017-11-15,0,0,0,0,0.0,0.0,0
