date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-25,0,0,0,0,0.0,0.0,0
2015-12-04,0,0,0,0,0.0,0.0,0
2015-12-10,0,0,0,0,0.0,0.0,0
2015-12-23,0,0,0,0,0.0,0.0,0
2016-01-04,0,0,0,0,0.25,0.333333333333,0
2016-01-26,0,0,0,0,0.0,0.0,0
2016-02-23,0,0,0,0,0.0,0.0,0
2016-03-01,0,0,0,0,0.0,0.0,0
2016-03-17,0,0,0,0,0.0,0.0,0
2016-04-19,0,0,0,0,0.0,0.0,0
2016-04-28,0,0,0,0,0.0,0.0,0
2016-05-10,0,0,0,0,0.0,0.0,0
2016-05-17,0,0,0,0,0.0,0.0,0
2016-05-31,0,0,0,0,0.0,0.0,0
2016-06-01,0,0,0,0,0.0,0.0,0
2016-06-02,0,0,0,0,0.0,0.0,0
2016-06-06,0,0,0,0,0.0,0.0,0
2016-06-10,0,0,0,0,0.0,0.0,0
2016-06-20,0,0,0,0,0.0,0.0,0
2016-06-23,0,0,0,0,0.0,0.0,0
2016-06-29,0,0,0,0,0.0,0.0,0
2016-06-30,0,0,0,0,0.0,0.0,0
2016-07-11,0,1,0,0,0.0,0.0,0
2016-07-18,0,0,0,0,0.0,0.0,0
2016-07-19,0,0,0,0,0.0,0.0,0
2016-07-20,0,0,0,0,0.0,0.0,0
2016-07-26,0,0,0,0,0.0,0.0,0
2016-08-17,0,0,0,0,0.0,0.4,0
2016-08-19,0,0,0,0,0.0,0.0,0
2016-09-02,0,0,0,0,0.218181818182,0.327272727273,0
2016-09-16,0,1,1,0,0.227272727273,0.545454545455,0
2016-09-19,0,0,0,0,0.35,0.1,0
2016-09-23,0,0,0,0,0.0,0.0,0
2016-09-28,0,0,0,0,0.0,0.0,0
2016-10-04,0,0,0,0,0.0,0.0,0
2016-10-05,0,0,0,0,0.0,0.0,0
2016-10-07,0,0,0,0,0.0,0.0,0
2016-10-18,0,0,0,0,0.0,0.0,0
2016-10-20,0,0,0,0,0.0,0.0,0
2016-10-25,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.357142857143,0.571428571429,0
2016-10-31,0,0,0,0,0.0,0.0,0
2016-11-08,0,0,0,0,-0.266666666667,0.466666666667,0
2016-11-10,0,0,0,0,0.0,0.0,0
2016-11-14,0,0,0,0,0.136363636364,0.454545454545,0
2016-11-15,0,0,0,0,0.0,0.0,0
2016-11-17,0,0,0,0,0.0,0.0,0
2016-11-21,0,0,0,0,0.0,0.0,0
2016-11-24,0,0,0,0,0.0,0.0,0
2016-11-29,0,0,0,0,0.0,0.0,0
2016-12-13,0,0,0,0,0.0,0.0,0
2016-12-14,0,0,0,0,0.0,1.0,0
