date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-02-11,0,0,0,0,0.0,0.0,0
2016-02-19,0,0,0,0,0.0,0.0,0
2016-03-09,0,0,0,0,0.0,0.0,0
2016-05-05,0,0,0,0,0.0,0.0,0
2016-05-31,0,0,0,0,0.0,0.0,0
2016-06-13,0,0,0,0,0.107142857143,0.785714285714,0
2016-07-15,0,0,0,0,0.0,0.0,0
2016-07-29,0,0,0,0,0.0,0.0769230769231,0
2016-08-04,0,0,0,0,0.0,0.0,0
2016-09-19,0,0,0,0,-0.0714285714286,0.142857142857,0
2016-09-27,0,0,0,0,0.0,0.0,0
2016-10-05,0,0,0,0,0.0,0.0,0
2016-10-21,0,0,0,0,0.0,0.0769230769231,0
2016-11-01,0,1,0,0,0.0,0.0,0
2016-11-30,0,0,0,0,0.0,0.0,0
2016-12-19,0,0,0,0,0.0,0.0,0
2017-01-11,0,0,0,0,0.0,0.0,0
2017-01-13,0,0,0,0,0.0,0.0,0
2017-02-01,0,0,0,0,0.0,0.0,0
2017-02-08,0,0,0,0,0.1,0.4,0
2017-02-09,0,0,0,0,0.0,0.0,0
2017-02-10,0,0,0,0,0.0,0.0,0
2017-02-17,0,0,0,0,0.0,0.0769230769231,0
2017-03-02,0,0,0,0,0.0625,0.5,0
2017-04-03,0,0,0,0,0.0,0.0,0
2017-05-04,0,0,0,0,0.25,0.333333333333,0
2017-08-03,0,0,0,0,0.0,0.0,0
2017-08-14,0,0,0,0,0.0,0.0,0
2017-09-28,0,0,0,0,0.0,0.0,0
2017-10-06,0,0,0,0,0.0,0.0,0
2017-10-10,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.15,0.653846153846,0
2017-10-25,0,0,0,0,0.0,0.1,0
2017-10-30,0,2,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.633333333333,2.03333333333,0
2017-11-01,0,0,0,0,-0.75,1.33333333333,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.5,0
2017-11-07,0,1,0,0,-0.0625,0.6875,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,1.25,2.0,0
2017-11-10,0,0,0,0,0.25,0.5,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.0722222222222,0.594444444444,0
2017-11-14,0,0,0,0,1.20909090909,3.77196969697,0
2017-11-15,0,1,0,0,0.5,1.35,0
2017-11-16,0,0,0,0,0.0,0.0,0
