date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-08,0,0,0,0,0.0,0.0769230769231,0
2016-05-04,0,0,0,0,0.0,0.0769230769231,0
2016-05-06,0,0,0,0,0.25,0.333333333333,0
2016-06-27,0,0,0,0,0.0,0.0,0
2016-08-04,0,0,0,0,0.0,0.0,0
2016-08-24,0,0,0,0,0.0,0.625,0
2016-11-03,0,0,0,0,0.0,0.0769230769231,0
2017-01-25,0,0,0,0,0.0,0.0,0
2017-02-15,0,0,0,0,0.0,0.0769230769231,0
2017-03-24,0,0,0,0,0.0,0.0,0
2017-04-17,0,0,0,0,0.0,0.0,0
2017-05-03,0,0,0,0,0.0,0.0769230769231,0
2017-05-04,0,0,0,0,0.0,0.4,0
2017-06-30,0,0,1,0,0.0,0.0,0
2017-08-03,0,0,0,0,0.0,0.0,0
2017-08-07,0,0,0,0,0.0,1.0,0
2017-08-10,0,0,0,0,0.0,0.0,0
2017-09-08,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,2,0,0.0,0.0,0
2017-10-19,0,1,1,0,0.0,0.666666666667,0
2017-10-23,0,0,0,0,0.0,0.666666666667,0
2017-10-24,0,1,0,0,0.3,1.4,0
2017-10-25,0,1,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.25,0.676923076923,0
2017-10-30,0,0,3,0,0.0787878787879,0.284848484848,0
2017-10-31,0,1,1,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.25,1.25,0
2017-11-02,0,0,0,0,0.132904040404,1.14171717172,0
2017-11-03,0,0,0,0,0.285714285714,1.53571428571,0
2017-11-06,0,0,1,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,2,0,0,-0.1,0.1,0
2017-11-09,0,1,0,0,0.0,0.85,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.1,0.1,0
2017-11-13,0,1,1,0,-0.25,1.0,0
2017-11-14,0,0,2,0,0.7,0.933333333333,0
2017-11-15,0,0,0,0,0.5,1.0,0
2017-11-16,0,1,1,0,0.0,0.0,0
