date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-01,0,0,0,0,0.0,0.0,0
2016-02-02,0,0,0,0,0.0,0.0,0
2016-04-11,0,0,0,0,0.0,0.0,0
2016-06-09,0,0,1,0,0.0,0.0,0
2016-07-07,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.0,0.75,0
2016-08-09,0,0,0,0,0.0,1.0,0
2016-08-23,0,0,0,0,0.0,0.0,0
2016-10-11,0,0,0,0,0.0,0.0,0
2016-10-12,0,0,0,0,-0.1,0.1,0
2016-10-27,0,0,0,0,0.0,0.0,0
2017-02-01,0,0,0,0,0.136363636364,0.454545454545,0
2017-03-15,0,0,0,0,0.0,0.0,0
2017-03-22,0,0,0,0,0.0,0.0,0
2017-07-10,0,0,0,0,-0.1,0.1,0
2017-09-01,0,0,0,0,0.1,0.4,0
2017-10-03,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.1,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.0,1.05,0
2017-10-23,0,0,0,0,0.0,0.8,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,1,0,0,0.0,0.0,0
2017-10-27,0,1,0,0,0.5,0.5,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,-0.827777777778,2.01111111111,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,-0.2,0.1,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,2,0,0,1.1,1.775,0
2017-11-08,0,1,0,0,0.527777777778,2.04722222222,0
2017-11-09,0,0,0,0,0.16,1.64,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,1,0,0.277272727273,1.04545454545,0
2017-11-14,0,1,0,0,0.435,1.415,0
2017-11-15,0,0,0,0,0.364285714286,0.478571428571,0
2017-11-16,0,1,0,0,0.0,0.0,0
