date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-19,0,1,0,0,0.0,0.0,0
2015-12-11,0,1,0,0,0.5,1.0,0
2016-01-04,0,1,0,0,0.0,0.0,0
2016-01-05,0,1,0,0,0.0,0.0,0
2016-05-13,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,3
2016-08-10,0,0,0,0,0.0,0.0,0
2016-09-23,0,0,0,0,0.0,0.75,0
2016-10-05,0,0,0,0,0.0,0.0,0
2016-10-20,0,0,0,0,0.0,0.0,4
2016-10-25,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,0.0,0.0,1
2017-06-01,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,-0.1,0.4,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-22,0,0,0,0,-0.15,0.4,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,1,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.25,0.333333333333,0
2017-10-26,0,1,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.0,0.8,0
2017-11-01,0,1,0,0,0.816666666667,0.916666666667,0
2017-11-02,0,1,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.0,0.1,0
2017-11-06,0,0,0,0,-0.1,0.4,0
2017-11-07,0,2,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.1875,0.333333333333,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,1,1,0.25,0.5,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-13,0,1,0,0,-0.133333333333,0.6,0
2017-11-14,0,1,0,1,-0.275,1.7,0
2017-11-15,0,0,0,0,0.6,0.95,0
