date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-05-12,0,0,0,0,-0.155555555556,0.288888888889,0
2016-07-26,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.136363636364,0.454545454545,0
2016-08-10,0,0,0,0,0.136363636364,0.454545454545,0
2016-08-11,0,0,0,0,-0.155555555556,0.288888888889,0
2016-11-09,0,0,0,0,0.0,0.0,0
2016-11-10,0,0,0,0,0.0,0.0,0
2017-01-04,0,0,0,0,0.0,0.0,0
2017-02-23,0,0,0,0,0.219444444444,1.16388888889,0
2017-06-27,0,0,0,0,0.0,0.0,0
2017-08-10,0,0,0,0,-0.4,0.7,0
2017-09-06,0,0,0,0,0.175324675325,0.548701298701,0
2017-09-26,0,0,1,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.26,1.915,0
2017-10-23,0,0,0,0,0.5,0.833333333333,0
2017-10-25,0,0,1,0,0.0,0.0,0
2017-10-26,0,0,0,0,-0.1,0.05,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-30,0,1,0,0,-0.563636363636,1.55454545455,0
2017-11-01,0,0,0,0,0.25,0.333333333333,0
2017-11-03,0,0,0,0,1.38571428571,2.23571428571,0
2017-11-06,0,1,1,0,0.183333333333,0.633333333333,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,1.43571428571,2.78571428571,0
2017-11-09,0,0,1,0,0.4,1.0,0
2017-11-10,0,0,0,0,0.0,0.1,0
2017-11-11,0,0,0,0,0.5,0.5,0
2017-11-12,0,0,0,0,-0.1,0.4,0
2017-11-13,0,0,1,0,0.214285714286,1.45892857143,0
2017-11-14,0,0,0,0,1.06111111111,3.33888888889,0
2017-11-15,0,0,0,0,0.868181818182,1.12727272727,0
2017-11-16,0,0,0,0,0.0,0.0,0
