date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-10,0,0,0,0,0.0,0.0,0
2016-02-18,0,0,0,0,0.0,0.0,0
2016-04-25,0,0,0,0,0.0,0.0,0
2016-06-06,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.0,0.0,0
2016-08-23,0,0,0,0,0.0,0.0,0
2016-09-01,0,0,0,0,0.0,0.0,0
2016-09-16,0,0,0,0,0.1,0.0,0
2016-10-04,0,0,0,0,0.0,0.0,0
2016-10-20,0,0,0,0,0.0,0.0,0
2016-10-24,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2017-01-10,0,0,0,0,0.0,0.0,0
2017-02-16,0,0,0,0,0.0,0.0,0
2017-02-23,0,0,0,0,0.0,0.05,0
2017-03-13,0,0,0,0,-0.125,0.375,0
2017-04-25,0,0,0,0,0.0,0.0,0
2017-06-28,0,0,0,0,0.0,0.0,0
2017-07-11,0,0,0,0,0.0,0.0,0
2017-07-26,0,0,0,0,0.0,0.0,0
2017-07-31,0,0,0,0,0.0,0.0,0
2017-08-23,0,0,1,0,0.0,0.0,0
2017-09-11,0,0,0,0,0.0,0.0,0
2017-10-17,0,1,0,0,-0.4,0.7,0
2017-10-18,0,0,0,0,-0.1,0.4,0
2017-10-19,0,0,0,0,0.25,0.5,0
2017-10-20,0,0,0,0,0.375,0.875,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-22,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.5,0.5,0
2017-10-27,0,0,0,0,0.0,0.4,0
2017-10-28,0,1,0,0,0.0,0.0,0
2017-10-29,0,0,0,0,0.2,0.2,0
2017-11-01,0,0,0,0,0.383333333333,0.816666666667,0
2017-11-02,0,0,0,0,-0.2,0.4,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,1,0,0,1.275,0.425,0
2017-11-07,0,0,0,0,-0.4,0.7,0
2017-11-08,0,0,0,0,0.625,0.725,0
2017-11-10,0,1,1,0,0.0,0.8,0
2017-11-12,0,0,0,1,0.0,0.0,0
2017-11-13,0,2,0,1,-0.2,2.3,0
2017-11-14,0,0,0,1,0.175,1.23333333333,0
2017-11-15,0,1,0,1,0.136363636364,0.454545454545,0
2017-11-16,0,0,0,0,0.0,0.0,0
