date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-24,0,0,0,0,-0.1,0.1,0
2015-12-08,0,0,1,0,0.0,0.0,0
2016-01-28,0,0,0,0,0.0,0.0,0
2016-02-09,0,0,0,0,0.0,0.0,0
2016-03-31,0,0,0,0,-0.5,0.3,0
2016-05-25,0,0,0,0,0.0,0.5,0
2016-06-09,0,0,0,0,0.0,0.0,0
2016-06-21,0,0,0,0,0.0,0.0769230769231,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-08-03,0,0,0,0,0.0,0.0,0
2016-09-07,0,0,0,0,0.0,0.0,0
2016-09-21,0,0,0,0,0.35,0.55,0
2016-10-04,0,0,0,0,0.0,0.0,0
2016-10-10,0,1,0,0,0.0,0.0,0
2016-10-27,0,0,0,0,0.0,0.0,0
2016-11-07,0,0,0,0,0.0,0.0,0
2016-11-22,0,0,0,0,0.0,0.0,0
2016-11-29,0,0,0,0,0.0,0.0,0
2016-11-30,0,0,0,0,0.5,0.875,0
2017-01-19,0,0,0,0,0.0,0.0,0
2017-01-25,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,0.0,0.0,0
2017-02-22,0,0,0,0,0.0,0.0,0
2017-02-23,0,0,0,0,0.25,0.25,0
2017-04-04,0,0,0,0,0.0,0.0,0
2017-05-04,0,0,0,0,0.25,0.333333333333,0
2017-06-15,0,0,0,0,0.0,0.0,0
2017-06-29,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,0.0,0
2017-09-12,0,0,0,0,0.0,0.0,0
2017-09-21,0,0,0,0,0.3,0.2,0
2017-10-09,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,-0.15,0.4,0
2017-10-18,0,0,0,0,-0.166666666667,0.433333333333,0
2017-10-19,0,0,0,0,-0.1,0.1,0
2017-10-20,0,0,0,0,-0.1,0.4,0
2017-10-22,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.0666666666667,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,-0.155555555556,0.288888888889,0
2017-10-27,0,0,0,0,0.45,0.75,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-29,0,1,1,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.1,0.625,0
2017-10-31,0,1,0,0,0.16,0.64,0
2017-11-01,0,1,0,0,0.7,0.9,0
2017-11-02,0,0,1,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.25,0.85,0
2017-11-04,0,1,0,0,0.0,0.0,0
2017-11-05,0,0,0,0,0.35,0.9,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,2,0,0.0,0.8,0
2017-11-09,0,0,0,0,0.0,0.270833333333,0
2017-11-10,0,0,0,0,-0.177777777778,0.577777777778,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,1,0,0,-0.0833333333333,0.216666666667,0
2017-11-13,0,1,0,0,0.0,0.0,0
2017-11-14,0,0,0,0,0.0,0.0,0
2017-11-15,0,0,0,0,0.0,0.0,0
