date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-06-07,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.0,0.0,0
2016-08-01,0,0,0,0,0.0,0.0,3
2016-09-23,0,0,0,0,0.0,0.0,0
2016-10-07,0,0,0,0,0.0,0.0,0
2016-11-03,0,0,0,0,0.0,0.0,0
2017-02-23,0,0,0,0,0.0,0.0,0
2017-04-18,0,0,0,0,0.0,0.75,0
2017-05-03,0,0,0,0,0.0,0.0,2
2017-06-16,0,0,1,0,0.211111111111,0.305555555556,0
2017-08-03,0,0,0,0,0.0,0.0,0
2017-08-21,0,0,0,0,0.136363636364,0.454545454545,0
2017-09-22,0,0,0,0,-0.1,0.3,0
2017-10-03,0,0,0,0,0.0,0.0,0
2017-10-18,0,1,0,0,-0.15,0.4,0
2017-10-19,0,0,0,0,0.16,0.54,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.0,0.0666666666667,0
2017-10-25,0,0,0,0,0.2,0.2,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,-0.1,0.4,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,-0.0333333333333,0.155555555556,0
2017-10-31,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.8,4
2017-11-03,0,0,0,0,0.45,0.9,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,1,0,0.05,0.6,0
2017-11-07,0,0,0,0,0.109523809524,0.214285714286,0
2017-11-08,0,0,0,0,0.55,0.7,0
2017-11-09,0,1,0,0,1.1,1.3,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,-0.4,0.7,0
2017-11-13,0,0,0,0,-0.15,1.2,0
2017-11-14,0,0,0,0,0.35,0.5,0
2017-11-15,0,1,0,0,-0.2,0.35,0
2017-11-16,0,0,0,0,0.3,0.5,0
