date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-11,0,0,0,0,0.0,0.0,0
2015-12-07,0,0,0,0,0.0,0.0,0
2015-12-29,0,0,0,0,0.2,0.2,0
2016-01-06,0,0,0,0,0.0,0.0,0
2016-02-23,0,0,0,0,0.0,0.0,0
2016-05-16,0,0,0,0,0.0,0.0,0
2016-05-19,0,0,0,0,0.0,0.0,0
2016-06-16,0,0,0,0,0.0681818181818,0.227272727273,0
2016-06-23,0,0,0,0,0.5,0.5,0
2016-08-11,0,0,0,0,-0.155555555556,0.288888888889,0
2016-08-18,0,0,0,0,0.0,0.0,0
2016-08-26,0,0,0,0,0.0,0.0769230769231,0
2016-10-28,0,0,0,0,0.0,0.0769230769231,0
2016-10-31,0,0,1,0,0.05,0.5,0
2016-11-10,0,0,0,0,-0.155555555556,0.288888888889,0
2016-11-14,0,0,0,0,0.0,0.0,0
2017-01-04,0,0,0,0,0.0,0.0,0
2017-01-09,0,0,0,0,0.0,0.0,0
2017-01-30,0,0,1,0,0.0,0.0,0
2017-02-03,0,0,0,0,0.0,0.0,0
2017-02-21,0,0,0,0,0.0,0.0,0
2017-02-22,0,0,0,0,0.0,0.0,0
2017-02-24,0,0,0,0,0.0,0.0769230769231,0
2017-03-01,0,0,0,0,0.0,0.0,0
2017-03-08,0,0,0,0,0.0,0.0,0
2017-03-14,0,1,0,0,0.0,0.0,0
2017-03-27,0,0,0,0,0.0,0.0,0
2017-05-03,0,0,0,0,-0.155555555556,0.288888888889,0
2017-06-06,0,0,0,0,0.0,0.0333333333333,0
2017-06-16,0,1,0,0,-0.3,0.5,0
2017-08-10,0,0,0,0,0.0,0.125,0
2017-08-21,0,0,0,0,0.0,0.0,0
2017-08-25,0,0,0,0,0.0,0.0769230769231,0
2017-08-31,0,0,0,0,0.0,0.0,0
2017-10-02,0,0,0,0,0.5,0.5,0
2017-10-03,0,0,0,0,0.0,0.0,0
2017-10-04,0,0,0,0,0.0,1.0,0
2017-10-06,0,0,0,0,0.0,0.0,0
2017-10-08,0,1,0,0,0.0,0.0,0
2017-10-09,0,0,0,0,-0.15,0.75,0
2017-10-10,0,0,0,0,0.25,1.1,0
2017-10-11,0,0,0,0,0.325324675325,3.04155844156,0
2017-10-12,0,1,1,0,0.3,1.675,0
2017-10-13,0,0,1,0,-0.0623737373737,2.06616161616,0
2017-10-14,0,0,1,0,0.0,0.0,0
2017-10-15,0,1,0,0,-0.05,0.475,0
2017-10-16,0,4,0,1,1.95515873016,8.4996031746,0
