date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-27,0,0,0,0,0.0,0.0,0
2016-04-20,0,0,0,0,0.0,0.0,0
2016-07-19,0,0,0,0,0.0,0.0,0
2016-07-20,0,0,0,0,0.0,0.0,0
2016-08-02,0,0,0,0,0.0,1.0,0
2016-10-11,0,0,0,0,0.0,0.0,0
2016-10-19,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2017-01-17,0,0,0,0,0.6,0.8,0
2017-01-25,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,0.0,0.0,0
2017-02-14,0,0,0,0,0.0,0.0,0
2017-02-16,0,0,0,0,0.0,0.0,0
2017-04-20,0,0,0,0,0.0,0.0,0
2017-05-19,0,0,0,0,0.1,0.1,0
2017-06-14,0,0,0,0,0.0,0.4,0
2017-06-16,0,0,0,0,0.0,0.0,0
2017-07-06,0,0,0,0,0.0,0.0,0
2017-07-13,0,0,0,0,0.0,0.0,0
2017-07-17,0,0,0,0,0.0,0.0,0
2017-09-20,0,0,0,0,0.5,0.5,0
2017-09-21,0,0,0,0,0.0,0.0,0
2017-10-02,0,0,0,0,0.0,0.0,0
2017-10-03,0,0,0,0,0.0,0.0,0
2017-10-04,0,0,0,0,0.183333333333,0.55,0
2017-10-05,0,0,0,0,0.0214285714286,0.247619047619,0
2017-10-06,0,0,1,0,0.5,1.0,0
2017-10-09,0,1,1,0,0.1,1.25,0
2017-10-10,0,0,0,0,0.166666666667,0.333333333333,0
2017-10-11,0,0,0,0,0.0,0.8,0
2017-10-12,0,0,0,0,0.5,1.38,0
2017-10-13,0,2,0,0,1.15,3.1,0
2017-10-15,0,0,0,0,0.0,0.2,0
2017-10-16,0,0,0,0,1.92074314574,10.7031385281,0
