date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-15,0,0,0,0,0.0,0.0,0
2016-06-14,0,0,0,0,-0.3,0.4,0
2016-06-15,0,0,0,0,-0.3,0.4,0
2016-07-12,0,0,0,0,0.0,0.0769230769231,0
2016-07-19,0,0,0,0,0.35,0.55,0
2016-07-22,0,0,0,0,0.0,0.0,0
2016-09-28,0,0,0,0,0.0,0.0,0
2016-10-21,0,0,0,0,0.0,0.0,0
2016-10-24,0,0,0,0,0.0,0.0,0
2016-11-29,0,0,0,0,-0.2,0.4,0
2016-12-21,0,0,0,0,0.0,0.0769230769231,0
2017-01-14,0,0,0,0,0.0,0.0,0
2017-02-15,0,0,0,0,0.0,0.0,0
2017-06-01,0,0,0,0,0.0,0.0,0
2017-06-12,0,0,0,0,0.0,0.0,0
2017-07-21,0,0,0,0,0.0,0.0,0
2017-07-28,0,0,0,0,0.0,0.0,0
2017-07-31,0,0,0,0,0.0,0.0,0
2017-10-12,0,0,0,0,-0.2,0.4,0
2017-10-17,0,2,0,0,0.136363636364,0.454545454545,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.136363636364,0.5,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.0,0.1,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-05,0,0,0,0,-0.15,0.4,0
2017-11-06,0,0,0,0,0.0,0.6,0
2017-11-07,0,1,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.75,1.25,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,0,0,1,-0.3,0.4,0
2017-11-12,0,0,0,0,0.136363636364,0.454545454545,0
2017-11-13,0,0,1,0,0.0722222222222,2.25277777778,0
2017-11-14,0,0,0,0,0.0,0.0,0
2017-11-15,0,0,0,0,-1.11022302463e-16,2.0,0
