date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-13,0,0,0,0,0.0,0.0,0
2016-03-09,0,0,0,0,0.0,0.0,0
2016-03-16,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,3
2016-09-21,0,0,0,0,0.0,0.0,0
2016-10-04,0,0,0,0,0.0,0.0,0
2016-10-20,0,0,0,0,0.0,0.0,0
2016-10-25,0,0,0,0,0.0,0.0,0
2016-11-09,0,0,0,0,0.0,0.0,0
2016-11-14,0,0,0,0,0.0,0.0,0
2016-12-01,0,0,0,0,0.0,0.0,0
2016-12-05,0,0,0,0,0.0,0.0,0
2016-12-13,0,0,0,0,0.0,0.0,0
2016-12-15,0,0,0,0,0.0,0.0,0
2017-01-02,0,0,0,0,0.0,0.0,0
2017-01-09,0,0,0,0,0.0,0.0,0
2017-01-11,0,0,0,0,0.0,0.0,0
2017-02-02,0,0,0,0,0.0,0.0,0
2017-03-15,0,0,0,0,0.0,0.0,0
2017-03-31,0,0,0,0,0.0,0.75,0
2017-04-11,0,0,0,0,0.0,0.0,0
2017-04-21,0,0,0,0,0.0,0.0,0
2017-05-18,0,0,0,0,0.0,0.0,0
2017-07-05,0,0,0,0,0.0,0.0,0
2017-07-10,0,0,0,0,0.0,0.0,0
2017-07-27,0,0,0,0,0.0,0.0,0
2017-09-01,0,0,0,0,0.0,0.0,0
2017-10-16,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,-0.155555555556,0.288888888889,0
2017-10-23,0,0,0,0,-0.1,0.4,0
2017-10-24,0,0,0,0,-0.1,0.4,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.6,1.8,0
2017-10-27,0,0,0,0,0.4,1.0,0
2017-10-29,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.6,1.2,0
2017-11-01,0,0,0,0,0.5,1.5,0
2017-11-02,0,0,0,0,0.5,0.833333333333,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-04,0,1,0,0,0.0,0.0,0
2017-11-06,0,1,0,0,0.5,0.75,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,1,0,0,1.45,0.45,0
2017-11-09,0,1,0,0,-0.316666666667,1.05,0
2017-11-10,0,2,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.15,0.725,0
2017-11-13,0,0,0,0,0.95,1.05,0
2017-11-14,0,0,0,0,0.214285714286,0.428571428571,0
2017-11-15,0,4,2,0,0.358333333333,1.2,0
2017-11-16,0,0,0,0,0.0,0.0,0
