date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-28,0,0,0,0,0.0,0.0,0
2016-02-17,0,0,0,0,0.0,0.0,0
2016-02-25,0,0,0,0,0.0,0.0769230769231,0
2016-07-27,0,0,0,0,0.0,0.0,0
2016-08-25,0,0,0,0,0.0,0.0,0
2016-09-07,0,0,0,0,0.0,0.0,0
2016-09-13,0,0,0,0,0.0,0.0,0
2016-09-16,0,0,0,0,0.0,0.0,0
2016-09-20,0,0,0,0,0.0,0.0,0
2016-10-11,0,0,0,0,0.375,0.875,0
2016-10-21,0,0,0,0,0.0,0.0,0
2016-10-27,0,0,0,0,0.0,0.0,0
2016-12-06,0,0,0,0,0.0,0.0,0
2016-12-07,0,0,0,0,0.0,0.0,0
2017-01-31,0,0,0,0,0.214285714286,0.571428571429,0
2017-02-01,0,0,0,0,0.214285714286,0.571428571429,0
2017-02-03,0,0,0,0,0.0,1.0,0
2017-02-22,0,0,0,0,0.0,0.0,0
2017-05-18,0,0,0,0,0.0,0.0,0
2017-05-25,0,0,0,0,0.5,1.0,0
2017-08-24,0,0,0,0,0.0,0.0,0
2017-10-22,0,1,0,0,0.0,0.0,0
2017-10-23,0,1,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.535714285714,2.16071428571,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-11-01,0,1,0,0,0.5,0.5,0
2017-11-02,0,1,0,0,0.25,0.533333333333,0
2017-11-03,0,1,0,0,0.0,0.1,0
2017-11-04,0,0,0,0,0.5,1.0,0
2017-11-07,0,1,1,0,0.0,0.0,0
2017-11-08,0,1,1,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,-0.1,0.733333333333,0
2017-11-14,0,1,1,0,3.4,5.375,0
2017-11-15,0,2,0,0,0.0,1.3,0
2017-11-16,0,0,0,0,-0.133333333333,0.6,0
