date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-05-05,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-11-03,0,0,0,0,0.0,0.0,0
2017-02-02,0,0,0,0,0.0,0.0,0
2017-05-04,0,0,0,0,0.0,0.0,0
2017-10-02,0,0,1,0,0.6,0.8,0
2017-10-03,0,0,0,0,0.4,1.7,0
2017-10-04,0,0,0,0,0.228571428571,0.689285714286,0
2017-10-05,0,1,0,0,0.166666666667,0.566666666667,0
2017-10-06,0,1,0,0,0.0,0.0,0
2017-10-08,0,0,0,0,0.0,0.0,0
2017-10-09,0,0,0,0,0.1,0.15,0
2017-10-10,0,0,0,0,-0.1,0.925,0
2017-10-11,0,1,0,0,0.0,0.0,0
2017-10-12,0,0,0,0,-0.435714285714,0.807142857143,0
2017-10-13,0,1,0,0,1.59777777778,1.84111111111,0
2017-10-14,0,0,0,0,0.0967532467532,0.541558441558,0
2017-10-15,0,0,0,1,-0.0714285714286,0.142857142857,0
2017-10-16,0,0,0,0,0.25,0.25,0
