date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2017-10-20,0,0,0,0,0.1,1.4,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.15,0.3,0
2017-10-27,0,0,0,0,0.4,0.8,0
2017-10-31,0,0,0,0,0.2,0.3,0
2017-11-01,0,0,0,0,0.183333333333,0.55,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-06,0,1,0,0,-0.5,1.875,0
2017-11-07,0,2,1,0,-0.125,0.375,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,0.5,0.5,0
2017-11-11,0,1,0,0,-0.15,0.4,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,1,0,0.136363636364,0.554545454545,0
2017-11-14,0,1,0,0,0.1,1.4,0
2017-11-15,0,0,0,0,0.2,1.2,0
2017-11-16,0,0,0,0,0.5,0.65,0
