date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-14,0,0,1,0,-0.1,0.122222222222,0
2016-05-10,0,0,0,0,0.0,0.0,0
2016-06-07,0,0,0,0,0.0,0.0,0
2016-06-08,0,0,0,0,0.0,0.0,0
2016-07-29,0,0,0,0,0.0,0.0,0
2016-08-09,0,0,0,0,0.0,0.0,0
2016-11-09,0,0,0,0,0.0,0.0,0
2016-12-05,0,0,0,0,0.0,0.0,0
2016-12-07,0,0,0,0,0.0,0.0,0
2017-02-16,0,0,0,0,0.0,0.0,0
2017-02-22,0,0,0,0,0.0,0.0,0
2017-03-03,0,0,0,0,0.0,0.5,0
2017-03-14,0,0,0,0,0.0,0.0,0
2017-05-04,0,0,0,0,0.0,0.0,0
2017-06-08,0,0,0,0,0.0,0.0,0
2017-08-08,0,0,0,0,0.0,0.0,0
2017-08-10,0,0,1,0,-0.1,0.122222222222,0
2017-08-30,0,0,0,0,0.0,0.0,0
2017-09-19,0,0,0,0,0.0,0.0,0
2017-09-27,0,0,0,0,0.0,0.0,0
2017-10-10,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,-0.05,0.2,0
2017-10-20,0,0,0,0,0.15,0.25,0
2017-10-22,0,0,0,0,0.0,0.0,0
2017-10-25,0,1,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.0,0.15,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,-0.2,0.35,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.2,0.35,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,-0.25,0.8,0
2017-11-06,0,1,0,0,0.0,0.0,0
2017-11-07,0,1,0,0,0.0892857142857,0.238095238095,0
2017-11-08,0,1,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,2,0,0,0.0666666666667,0.4125,0
2017-11-11,0,1,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,1,0,0,0.386363636364,1.70454545455,0
2017-11-14,0,1,0,0,-0.465277777778,0.844444444444,0
2017-11-15,0,1,0,0,0.0,0.4,0
2017-11-16,0,0,1,0,-0.3,0.366666666667,0
