date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-19,0,1,0,0,0.136363636364,0.454545454545,0
2016-02-11,0,0,0,0,0.0,0.0,0
2016-05-13,0,0,0,0,0.0,0.0,0
2016-05-18,0,0,0,0,0.0,0.0,0
2016-06-28,0,0,0,0,0.214285714286,0.428571428571,0
2016-06-30,0,0,0,0,0.0,0.125,0
2016-07-18,0,0,0,0,0.0,0.0,0
2016-07-21,0,0,0,0,0.0,0.0,0
2016-07-25,0,0,0,0,0.0,0.75,0
2016-08-02,0,0,0,0,0.136363636364,0.454545454545,0
2016-08-03,0,0,0,0,0.0,0.0,0
2016-08-11,0,0,0,0,0.0,0.0,0
2016-08-18,0,0,0,0,0.0,0.0,0
2016-09-27,0,0,0,0,0.0,0.0,0
2016-10-06,0,0,0,0,0.136363636364,0.454545454545,0
2016-10-13,0,0,0,0,0.0,0.0,0
2016-10-18,0,0,0,0,0.0,1.0,0
2016-10-24,0,0,0,0,0.4,0.4,0
2016-12-06,0,0,0,0,0.0,0.0,0
2016-12-20,0,0,0,0,0.0,0.0,0
2017-01-17,0,0,0,0,0.0,0.0,0
2017-01-20,0,0,0,0,0.0,0.0,0
2017-02-16,0,0,0,0,0.0,0.0,0
2017-03-21,0,0,0,0,0.0,0.0,0
2017-06-15,0,0,0,0,0.3,0.45,0
2017-06-29,0,0,0,0,0.0,0.0,0
2017-07-07,0,0,0,0,0.0,0.375,0
2017-07-25,0,0,0,0,0.0,0.75,0
2017-08-10,0,0,0,0,0.0,0.0,0
2017-08-14,0,0,0,0,0.0,0.0,0
2017-08-21,0,0,0,0,0.0,0.0,0
2017-09-25,0,0,0,0,0.0,0.0,0
2017-09-26,0,0,0,0,0.0,0.0,0
2017-10-17,0,1,0,0,0.292857142857,1.31785714286,0
2017-10-19,0,0,0,0,-0.3,0.3,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,-0.2,0.525,0
2017-10-25,0,0,0,0,-0.05,0.233333333333,0
2017-10-26,0,0,1,0,0.2,1.15,0
2017-10-27,0,0,0,0,-0.155555555556,0.405555555556,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,-0.4,1.45,0
2017-11-01,0,0,0,0,-0.6,0.5,0
2017-11-02,0,0,0,0,0.136363636364,0.454545454545,0
2017-11-03,0,0,0,0,-0.4,0.4,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,-0.0191919191919,0.743434343434,0
2017-11-10,0,1,0,0,-0.581818181818,1.12727272727,0
2017-11-13,0,0,0,0,0.204545454545,0.681818181818,0
2017-11-14,0,0,0,0,0.0,0.0,0
2017-11-15,0,2,0,0,0.7,1.1,0
2017-11-16,0,0,0,0,0.0,0.0,0
