date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-04,0,0,0,0,0.0,0.0,0
2016-02-16,0,0,0,0,0.0,0.0,0
2016-05-17,0,0,0,0,0.0,0.0,0
2016-07-14,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.0,0.4,0
2016-08-04,0,0,0,0,0.0,0.0,0
2016-08-17,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.4,0
2016-11-16,0,0,0,0,0.0,0.0,0
2016-11-28,0,0,0,0,0.0,0.0,0
2016-12-08,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,0.116883116883,0.475324675325,0
2017-03-31,0,0,0,0,0.0,1.375,0
2017-04-06,0,0,0,0,0.0,0.0,0
2017-07-26,0,0,0,0,0.1625,0.3375,0
2017-08-16,0,0,0,0,0.0,0.0,0
2017-08-21,0,0,0,0,0.0,0.0,0
2017-09-17,0,0,0,0,0.0,0.0,0
2017-09-18,0,0,0,0,0.0,0.0,0
2017-09-26,0,0,0,0,0.0,0.0,0
2017-10-10,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,1,0,0.0681818181818,0.227272727273,0
2017-10-25,0,0,0,0,0.0,1.0,0
2017-10-26,0,0,0,0,0.2,0.35,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.4,0.633333333333,0
2017-10-31,0,0,0,0,0.136363636364,0.554545454545,0
2017-11-01,0,0,0,0,0.05,0.5,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,-0.1,0.4,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,1,0,0,-0.1,0.4,0
2017-11-08,0,1,0,0,0.0,0.2,0
2017-11-09,0,0,0,0,0.994444444444,1.01388888889,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.25,0.25,0
2017-11-13,0,0,0,0,0.2,0.6,0
2017-11-14,0,1,0,0,0.15,1.6,0
2017-11-15,0,0,0,0,0.25,0.95,0
2017-11-16,0,0,0,0,0.0,0.0,0
