date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-07,0,0,0,0,0.0,0.0,0
2016-02-26,0,0,0,0,0.0,0.0769230769231,0
2016-04-11,0,0,0,0,0.0,0.0,0
2016-04-22,0,0,0,0,0.0,0.0,0
2016-04-29,0,0,0,0,0.0,0.0,0
2016-05-19,0,0,0,0,0.0,0.0769230769231,0
2016-06-01,0,0,0,0,0.0,0.0,0
2016-07-07,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-10-27,0,0,1,0,0.0,0.0,0
2016-11-09,0,0,0,0,0.0,0.0,0
2016-11-17,0,0,0,0,0.0,0.0769230769231,0
2016-11-21,0,0,0,0,0.0,0.0,0
2017-02-06,0,0,0,0,0.0,0.0,0
2017-02-24,0,0,0,0,0.0,0.0769230769231,0
2017-05-22,0,0,0,0,0.0,0.0,0
2017-06-28,0,0,0,0,0.0,0.0,0
2017-08-17,0,0,0,0,0.0,0.0769230769231,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,1,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.5,0.833333333333,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,1,1,0,0.4,1.9,0
2017-10-26,0,0,0,0,0.0,0.6,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.6,0.9,0
2017-10-31,0,0,0,0,0.0,0.8,0
2017-11-01,0,0,0,0,0.0,0.4,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,-0.1,0.4,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.5,0.5,0
2017-11-10,0,0,0,0,1.0,1.1,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.0,0.0,0
2017-11-14,0,0,0,0,0.116666666667,1.65,0
2017-11-15,0,0,0,0,0.66,1.42333333333,0
2017-11-16,0,0,0,0,0.0,0.0,0
