date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-05-12,0,0,0,0,0.0,0.0,0
2016-06-08,0,0,0,0,0.0,0.0,0
2016-08-11,0,0,0,0,0.0,0.0,3
2016-09-06,0,0,0,0,0.0,0.625,0
2016-09-14,0,0,0,0,0.0,0.0,0
2016-10-18,0,0,0,0,0.0,0.0,0
2016-12-13,0,0,0,0,0.214285714286,0.571428571429,0
2017-02-08,0,0,0,0,0.214285714286,0.642857142857,0
2017-02-09,0,0,0,0,0.0,0.0,0
2017-03-10,0,0,0,0,0.4,0.7,0
2017-03-15,0,0,0,0,-0.6,1.0,0
2017-05-23,0,0,0,0,0.0,0.0,0
2017-05-24,0,0,0,0,0.0,0.0,0
2017-06-05,0,0,0,0,0.0,0.0,0
2017-07-05,0,0,0,0,0.0,0.0,0
2017-07-31,0,0,0,0,0.0,0.0,0
2017-08-08,0,0,0,0,-0.0625,0.1875,0
2017-08-10,0,0,0,0,0.0,0.0,3
2017-09-07,0,0,0,0,-0.1,0.2,0
2017-09-21,0,0,0,0,0.4,0.7,0
2017-10-10,0,0,0,0,0.4,0.7,0
2017-10-18,0,0,0,0,0.4,0.7,0
2017-10-19,0,0,0,0,0.1,0.4,0
2017-10-21,0,1,0,0,0.5,0.5,0
2017-10-23,0,0,0,0,0.0625,0.5,0
2017-10-24,0,0,0,0,0.0,0.25,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-30,0,1,0,0,-0.6,1.0,0
2017-10-31,0,0,0,0,0.183333333333,0.5,0
2017-11-02,0,0,0,0,0.1,0.383333333333,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.2,0.2,0
2017-11-08,0,0,0,0,1.0,1.70833333333,0
2017-11-09,0,1,0,0,1.75,2.35,0
2017-11-10,0,1,1,0,0.65,1.4,0
2017-11-12,0,0,0,0,0.0,0.1,0
2017-11-13,0,1,0,1,2.03571428571,3.66071428571,0
2017-11-14,0,1,0,0,0.4,0.5,0
2017-11-15,0,1,0,0,-0.716666666667,2.05,0
