date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-19,0,0,0,0,0.0,0.0,0
2015-12-11,0,0,0,0,0.0,0.0,0
2015-12-21,0,0,0,0,-0.0416666666667,0.125,0
2016-02-11,0,0,0,0,0.0,0.0,0
2016-04-18,0,0,0,0,0.0,0.0,0
2016-05-16,0,0,0,0,-0.375,0.6625,0
2016-05-17,0,0,0,0,0.0,0.0,0
2016-06-02,0,0,0,0,0.0,0.0,0
2016-06-08,0,0,0,0,0.136363636364,0.454545454545,0
2016-07-07,0,0,0,0,0.0,0.0,0
2016-07-14,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-09-06,0,0,0,0,0.0,0.0,0
2016-09-29,0,0,0,0,0.2,0.4,3
2016-09-30,0,0,0,0,0.35,0.65,0
2016-11-17,0,0,0,0,0.0,0.0,0
2016-11-22,0,0,0,0,0.0,0.0,0
2017-02-02,0,0,0,0,0.0,0.0,0
2017-02-15,0,0,0,0,0.0,0.625,0
2017-02-22,0,0,0,0,0.25,0.4,0
2017-03-01,0,0,0,0,0.0,0.0,0
2017-03-17,0,0,0,0,0.0,0.75,0
2017-05-04,0,0,0,0,0.0,0.0,0
2017-05-25,0,0,1,0,0.0,0.0,0
2017-06-06,0,0,0,0,0.136363636364,0.454545454545,0
2017-07-11,0,0,0,0,-0.0833333333333,0.0833333333333,0
2017-07-14,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,0.0,0
2017-07-25,0,0,0,0,0.0,0.0,0
2017-08-09,0,1,0,0,0.0,0.0,0
2017-09-14,0,0,0,0,0.0,0.0,0
2017-09-19,0,0,0,0,0.0,0.0,0
2017-10-02,0,0,0,0,1.11666666667,2.25833333333,0
2017-10-03,0,0,1,0,0.0,0.0,0
2017-10-04,0,0,0,0,0.979166666667,2.74583333333,0
2017-10-05,0,1,1,0,0.0,0.0,0
2017-10-06,0,1,1,0,0.433333333333,0.733333333333,0
2017-10-09,0,1,0,0,0.5,0.5,0
2017-10-10,0,2,0,0,0.0,0.1,0
2017-10-11,0,0,2,0,-0.427777777778,1.86111111111,0
2017-10-12,0,0,0,0,0.0,0.2,0
2017-10-13,0,0,0,0,0.2,0.9,0
2017-10-14,0,0,0,0,0.0,0.0,0
2017-10-15,0,0,0,0,-0.15,0.4,0
2017-10-16,0,4,1,0,0.447619047619,4.27976190476,0
