date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-06-15,0,0,0,0,0.3,0.475,0
2016-07-14,0,0,0,0,0.0,0.0,0
2016-08-22,0,0,0,0,0.0,0.0666666666667,0
2016-09-15,0,0,0,0,0.0,0.0,0
2016-10-13,0,0,0,0,0.0,0.0,0
2016-11-16,0,0,0,0,0.0,0.0,0
2016-12-14,0,0,0,0,0.0,0.0,0
2017-01-25,0,0,0,0,0.0,0.0,0
2017-02-15,0,0,0,0,0.0,0.0,0
2017-03-17,0,0,0,0,0.0,0.0,0
2017-03-21,0,0,1,0,0.05,0.2,0
2017-04-03,0,0,0,0,0.0,0.0666666666667,0
2017-04-18,0,0,0,0,0.0,0.0,0
2017-06-14,0,0,0,0,0.0,0.0,0
2017-07-18,0,0,0,0,0.0,0.0,0
2017-08-16,0,0,0,0,0.0,0.0,0
2017-10-16,0,0,0,0,0.136363636364,0.454545454545,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-19,0,1,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-10-23,0,1,0,0,0.736363636364,1.40454545455,0
2017-10-25,0,1,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,2,0,0,-0.5,0.8,0
2017-10-28,0,0,0,0,-0.1,0.4,0
2017-10-29,0,0,0,0,0.0,0.0,0
2017-10-30,0,2,0,0,0.05,0.5,0
2017-10-31,0,0,0,0,0.0,0.05,0
2017-11-03,0,2,0,0,0.06,2.19,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.0,0.125,0
2017-11-10,0,0,0,0,-0.4,0.7,0
2017-11-12,0,0,0,0,0.236363636364,1.27954545455,0
2017-11-13,0,1,0,0,0.16,1.04,0
2017-11-14,0,0,0,0,0.16,0.54,0
2017-11-15,0,1,0,0,1.50858585859,2.59898989899,0
2017-11-16,0,1,0,0,0.0,0.0,0
