date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-17,0,0,0,0,0.0,0.0,0
2016-01-21,0,0,0,0,0.0,0.0,0
2016-01-26,0,0,0,0,0.0,0.0,0
2016-07-01,0,0,0,0,0.0,0.0,0
2016-08-04,0,0,0,0,0.0,0.0,0
2016-10-21,0,0,0,0,0.0,0.0,0
2016-12-01,0,0,0,0,0.0,1.0,0
2017-01-18,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,0.0,0.0,0
2017-02-01,0,0,0,0,0.0,0.0,0
2017-02-02,0,0,0,0,0.0,0.0,0
2017-02-08,0,0,0,0,0.0,0.0,0
2017-02-21,0,0,0,0,0.0,0.375,0
2017-04-10,0,0,0,0,0.0,0.0,0
2017-08-03,0,0,0,0,0.0,0.0,0
2017-09-26,0,0,0,0,0.0,0.0,0
2017-09-29,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.3,0.75,0
2017-10-19,0,0,1,0,-0.1,0.4,0
2017-10-21,0,1,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.4,0.75,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.25,0.333333333333,0
2017-10-29,0,0,0,0,0.0,0.0,0
2017-10-31,0,1,0,0,0.0,0.0,0
2017-11-02,0,1,0,0,0.122222222222,0.619444444444,0
2017-11-03,0,0,0,0,0.3,0.166666666667,0
2017-11-05,0,1,0,0,0.0,0.0,0
2017-11-06,0,1,0,0,0.0,0.0,0
2017-11-07,0,2,1,0,0.1,0.0,0
2017-11-08,0,1,0,0,0.0,0.0,0
2017-11-09,0,1,0,0,-0.0333333333333,1.11666666667,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,-0.166666666667,0.433333333333,0
2017-11-12,0,0,0,0,-0.2,0.35,0
2017-11-13,0,1,1,0,0.0,0.0,0
2017-11-14,0,1,0,0,0.761363636364,1.17954545455,0
2017-11-15,0,1,0,0,0.0,0.0,0
