date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-03-23,0,0,0,0,0.0681818181818,0.227272727273,0
2016-04-04,0,0,0,0,0.0,0.0,0
2016-06-29,0,0,0,0,0.0,0.0,0
2016-07-07,0,0,0,0,-0.3,0.5,0
2016-07-15,0,0,0,0,0.0,0.0,0
2017-01-05,0,0,0,0,0.0,0.0,0
2017-01-13,0,0,0,0,0.0,0.0,0
2017-01-30,0,0,0,0,0.0,0.0,0
2017-02-21,0,0,0,0,0.0,0.0,0
2017-04-13,0,0,0,0,0.0,0.0,0
2017-05-03,0,0,0,0,0.3,0.4,0
2017-06-28,0,0,0,0,0.0,0.0,0
2017-07-14,0,0,0,0,0.0,0.0,0
2017-09-07,0,0,0,0,-0.125,0.375,0
2017-10-13,0,0,0,0,0.05,0.45,0
2017-10-19,0,0,0,0,0.272727272727,0.909090909091,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,-0.1,0.05,0
2017-10-27,0,0,0,0,0.25,0.416666666667,0
2017-11-02,0,0,0,0,0.5,0.833333333333,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.0,0.6,0
2017-11-08,0,1,0,0,0.0,0.2,0
2017-11-09,0,1,0,0,0.05,0.1,0
2017-11-10,0,0,0,0,0.561363636364,1.45454545455,0
2017-11-12,0,0,0,0,-0.0333333333333,0.0555555555556,0
2017-11-13,0,0,1,1,0.0,0.0,0
2017-11-14,0,0,0,0,0.416666666667,0.658333333333,0
2017-11-15,0,1,0,0,0.437121212121,1.75303030303,0
2017-11-16,0,1,1,0,0.5,0.5,0
