date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2017-10-17,0,0,0,0,-0.175,0.45,0
2017-10-19,0,0,0,0,-0.45,0.8,0
2017-10-21,0,0,0,0,-0.45,0.725,0
2017-10-22,0,0,0,0,0.16,0.54,0
2017-10-23,0,0,0,0,-0.425,0.8,0
2017-10-24,0,1,0,0,-0.0714285714286,0.142857142857,0
2017-10-25,0,1,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-29,0,0,0,0,0.25,0.333333333333,0
2017-10-31,0,0,0,0,-0.5,1.0,0
2017-11-02,0,1,0,0,-0.5,1.125,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,0.601587301587,1.9996031746,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,-0.416666666667,0.566666666667,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.6,0.95,0
2017-11-13,0,0,0,0,0.0,0.0,0
2017-11-14,0,0,0,0,0.708585858586,1.44898989899,0
2017-11-15,0,0,0,0,-0.4,0.7,0
