date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-27,0,0,0,0,0.0,0.0,0
2016-02-11,0,0,0,0,0.0,0.0,0
2016-04-29,0,0,0,0,-0.1,0.6,0
2016-05-16,0,0,0,0,0.0,0.0,0
2016-07-19,0,0,0,0,0.0,0.0,0
2016-07-21,0,0,0,0,0.0,0.0,3
2016-09-06,0,0,0,0,0.0,0.0,0
2016-10-20,0,0,0,0,0.0,0.0,4
2016-12-15,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,-0.258333333333,0.725,0
2017-02-08,0,0,0,0,0.0,0.4,0
2017-02-14,0,0,0,0,0.0,0.0,0
2017-03-17,0,0,0,0,0.0,0.0,0
2017-03-31,0,0,0,0,0.0,0.75,0
2017-04-04,0,0,0,0,0.0,0.0,0
2017-04-17,0,0,0,0,0.0,1.0,0
2017-04-18,0,0,0,0,0.0,0.0,0
2017-06-29,0,0,0,0,0.0,0.0,0
2017-07-17,0,0,0,0,0.0,0.0,0
2017-07-18,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,0.0,0
2017-07-26,0,0,0,0,0.0,0.0,0
2017-09-28,0,0,0,0,-0.155555555556,0.288888888889,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.1,0.85,0
2017-10-23,0,2,1,0,0.0,0.0,0
2017-10-24,0,1,0,0,-0.3,1.8,0
2017-10-30,0,0,0,0,-0.125,0.375,0
2017-10-31,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,0.0,1.5,0
2017-11-08,0,1,0,0,0.0649350649351,0.797402597403,0
2017-11-09,0,2,0,0,0.0,0.0,0
2017-11-10,0,2,1,0,0.5,0.5,0
2017-11-11,0,0,0,0,0.0,1.0,0
2017-11-13,0,1,0,0,0.1,0.375,0
2017-11-14,0,2,1,0,1.2,2.5,0
2017-11-15,0,1,0,0,0.0,1.0,0
2017-11-16,0,1,0,0,-0.155555555556,0.288888888889,0
