date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-19,0,0,0,0,0.0,0.0,0
2016-07-25,0,0,0,0,0.0,0.0,0
2016-08-25,0,0,0,0,-0.05,0.4,0
2016-10-24,0,0,0,0,0.0,0.0,0
2016-11-16,0,0,0,0,0.0,0.0,0
2017-02-06,0,0,0,0,0.0,0.0,0
2017-04-24,0,0,0,0,0.0,0.0,0
2017-07-24,0,0,0,0,0.0,0.0,0
2017-09-12,0,0,0,0,0.0,0.0,0
2017-10-12,0,0,0,0,0.0,0.0,0
2017-10-15,0,0,0,0,-0.0714285714286,0.142857142857,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.136363636364,0.454545454545,0
2017-10-20,0,0,0,0,-0.1,0.4,0
2017-10-21,0,0,0,0,0.6,1.05,0
2017-10-22,0,0,1,0,0.0,0.0,0
2017-10-23,0,0,2,0,0.0,0.0,0
2017-10-24,0,1,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,1,0,0.0,0.0666666666667,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-28,0,0,0,0,0.0,0.8,0
2017-10-30,0,0,0,0,0.375,0.875,0
2017-10-31,0,0,0,0,0.4,0.983333333333,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.183333333333,0.55,0
2017-11-03,0,1,0,0,0.125,0.608333333333,0
2017-11-05,0,0,0,0,-0.1,0.4,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,1,0,0,-0.4,0.7,0
2017-11-08,0,0,0,0,-0.4,1.0,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,1,1,0,0.225,1.275,0
2017-11-11,0,0,0,0,0.6,0.95,0
2017-11-13,0,1,0,0,0.136363636364,0.454545454545,0
2017-11-14,0,1,1,0,0.0454545454545,0.276515151515,0
2017-11-15,0,0,1,0,-0.24375,1.2,0
2017-11-16,0,0,0,0,0.6,0.95,0
