date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-06-20,0,0,0,0,0.0,0.0,0
2016-06-29,0,0,0,0,0.0,0.0,0
2016-07-14,0,1,0,0,0.0,0.0,0
2016-07-19,0,0,0,0,0.0,0.0,0
2016-07-25,0,0,0,0,-0.075,0.2,0
2016-08-05,0,0,0,0,0.0,0.0,0
2016-08-18,0,0,0,0,0.0,0.0,0
2016-09-13,0,0,0,0,-0.105555555556,0.155555555556,0
2016-10-17,0,0,0,0,0.25,0.333333333333,0
2016-10-18,0,0,0,0,0.0,0.0,0
2016-11-01,0,0,0,0,0.0,0.0,0
2016-12-05,0,0,0,0,0.0,0.0,0
2016-12-21,0,0,0,0,0.0,0.0,0
2017-01-20,0,0,0,0,0.0,0.0,0
2017-04-18,0,0,0,0,0.0,0.0,0
2017-05-23,0,0,0,0,-0.0416666666667,0.125,0
2017-06-28,0,0,0,0,0.0,0.0,0
2017-07-21,0,0,0,0,0.0,0.0,0
2017-08-04,0,0,0,0,0.0,0.0,0
2017-08-07,0,0,0,0,-0.0416666666667,0.125,0
2017-10-23,0,2,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,-0.155555555556,0.288888888889,0
2017-10-25,0,0,0,0,0.2,1.0,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,-0.0777777777778,0.144444444444,0
2017-11-07,0,0,0,0,0.75,1.09166666667,0
2017-11-08,0,0,0,0,0.1875,0.4,0
2017-11-10,0,0,0,0,0.125,0.166666666667,0
2017-11-12,0,0,0,0,-0.025,0.2,0
2017-11-13,0,0,0,0,0.142857142857,0.267857142857,0
2017-11-14,0,0,1,0,0.416203703704,1.39907407407,0
2017-11-15,0,0,0,0,0.55946969697,1.69772727273,0
