date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-19,0,0,0,0,0.0,0.125,0
2016-03-01,0,0,0,0,0.0,0.125,0
2016-05-19,0,0,0,0,0.0,0.0,0
2016-08-18,0,0,0,0,0.0,0.0,0
2017-02-28,0,0,0,0,0.0,0.0,0
2017-08-17,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,-0.1,0.4,0
2017-10-24,0,0,0,0,-0.1,0.4,0
2017-10-30,0,0,0,0,0.35,0.3,0
2017-10-31,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-06,0,1,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,-0.3,0.8,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,1,0,0.0,0.0,0
2017-11-11,0,0,0,0,0.0,0.4,0
2017-11-12,0,0,0,0,0.0,0.1,0
2017-11-13,0,1,0,0,0.344444444444,0.888888888889,0
2017-11-14,0,1,0,0,1.25,2.78333333333,0
2017-11-15,0,1,1,1,1.54166666667,3.56666666667,0
2017-11-16,0,0,0,0,0.0,0.0,0
