date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-18,0,0,0,0,0.0,0.0,0
2015-12-10,0,0,0,0,0.0,0.0,0
2016-01-04,0,0,0,0,0.0,0.0,0
2016-01-11,0,0,0,0,0.0,0.0,0
2016-01-28,0,0,0,0,0.0,0.0,0
2016-03-07,0,0,0,0,0.0,0.0,0
2016-03-18,0,0,0,0,0.0,0.0,0
2016-03-23,0,0,0,0,0.0,0.0,0
2016-04-26,0,0,0,0,0.0,0.0,0
2016-05-10,0,0,0,0,0.0,0.0,0
2016-05-26,0,0,0,0,0.0,0.0,0
2016-06-06,0,0,0,0,0.0,0.625,0
2016-06-07,0,0,0,0,0.0,0.0,0
2016-07-01,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-07-29,0,0,0,0,0.0,0.0,0
2016-08-17,0,0,0,0,0.25,0.333333333333,0
2016-08-19,0,0,0,0,0.0,0.0,0
2016-08-31,0,0,0,0,0.0,0.0,0
2016-09-19,0,0,0,0,0.0,0.0,0
2016-09-22,0,0,0,0,0.0,0.0,0
2016-10-19,0,0,0,0,0.0,0.0,0
2016-10-27,0,0,0,0,0.1,0.383333333333,0
2016-11-28,0,0,0,0,0.0,0.0,0
2016-12-16,0,0,0,0,0.136363636364,0.454545454545,0
2016-12-29,0,0,0,0,0.5,0.5,0
2017-01-10,0,0,0,0,0.0,0.0,0
2017-01-25,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,0.0,0.0,0
2017-02-27,0,0,0,0,0.35,0.4,0
2017-03-29,0,0,0,0,0.0,0.0,0
2017-05-03,0,0,0,0,0.0,0.0,0
2017-05-23,0,0,0,0,0.0,0.0,0
2017-05-25,0,0,0,0,0.0,0.0,0
2017-05-30,0,0,0,0,0.0,0.0,0
2017-06-08,0,0,0,0,0.0,0.0,0
2017-06-21,0,0,0,0,0.0,0.0,0
2017-07-27,0,0,0,0,0.0,0.0,0
2017-09-07,0,0,0,0,0.0,0.0,0
2017-09-11,0,0,0,0,0.0,0.0,0
2017-09-12,0,0,0,0,0.0,0.0,0
2017-09-15,0,0,0,0,0.0,0.0,0
2017-09-28,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,-0.15,0.2,0
2017-10-18,0,0,0,0,0.464285714286,1.14285714286,0
2017-10-20,0,1,0,0,0.5,0.5,0
2017-10-24,0,0,0,0,0.183333333333,0.95,0
2017-10-26,0,1,0,0,0.216666666667,0.366666666667,0
2017-10-27,0,1,0,0,0.3,0.2,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.3,0.2,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.1,0.15,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,1.27272727273,1.60909090909,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-11,0,1,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,-0.05,0.2,0
2017-11-14,0,0,0,0,0.272727272727,0.909090909091,0
2017-11-15,0,1,0,0,1.01136363636,1.92954545455,0
2017-11-16,0,0,0,0,0.0,0.0,0
