date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-02-10,0,0,0,0,0.0,0.0,0
2016-02-17,0,0,0,0,0.0,0.0,0
2016-03-21,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-10-17,0,0,0,0,0.0,0.0,0
2016-10-27,0,0,0,0,0.0,0.0,0
2017-02-09,0,0,0,0,0.0,0.0,0
2017-03-27,0,0,0,0,0.136363636364,0.454545454545,0
2017-08-08,0,0,0,0,0.0,0.0,0
2017-09-07,0,0,0,0,0.0,0.0,0
2017-09-11,0,0,0,0,0.0,0.0,0
2017-10-02,0,0,0,0,0.0,0.0,0
2017-10-04,0,0,0,0,0.0,0.0,0
2017-10-05,0,0,1,0,0.0,0.1,0
2017-10-06,0,0,0,0,0.16,0.54,0
2017-10-07,0,0,0,0,0.0,0.8,0
2017-10-09,0,0,0,0,0.0,0.0,0
2017-10-10,0,1,1,0,0.85,2.4,0
2017-10-11,0,0,0,0,1.24636363636,4.47454545455,0
2017-10-12,0,0,0,1,0.254545454545,1.78181818182,0
2017-10-13,0,0,0,0,0.146363636364,1.39454545455,0
2017-10-14,0,0,0,0,-0.25,0.65,0
2017-10-15,0,0,0,0,-0.363636363636,1.55454545455,0
2017-10-16,0,0,1,0,-0.8,4.1,0
