date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-05-26,0,0,0,0,0.0,0.0,0
2016-07-15,0,0,0,0,0.0,0.0,0
2016-08-25,0,0,0,0,0.0,0.0,0
2016-09-23,0,0,0,0,0.0,0.0,0
2016-10-13,0,0,0,0,0.0,0.0,0
2016-11-22,0,0,0,0,0.0,0.0,0
2017-01-11,0,0,0,0,-0.0777777777778,0.206944444444,0
2017-01-31,0,0,0,0,0.0,0.0,0
2017-02-02,0,0,0,0,0.0,0.0,0
2017-03-09,0,0,0,0,0.0,0.0,0
2017-05-25,0,0,0,0,0.25,0.333333333333,0
2017-06-05,0,0,0,0,-0.125,0.375,0
2017-06-21,0,0,0,0,0.0,0.0,0
2017-07-17,0,0,0,0,0.0,0.0,0
2017-08-24,0,0,0,0,0.0,0.0,0
2017-09-08,0,0,0,0,0.0,0.0,0
2017-10-18,0,1,0,0,0.0892857142857,0.496428571429,0
2017-10-19,0,0,0,0,-0.196428571429,0.542857142857,0
2017-10-20,0,1,0,0,0.1,0.45,0
2017-10-21,0,0,1,0,-0.0714285714286,0.142857142857,0
2017-10-22,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.214285714286,1.2380952381,0
2017-10-24,0,0,0,0,0.0214285714286,0.732142857143,0
2017-10-25,0,0,0,0,-0.25,0.533333333333,0
2017-10-26,0,0,0,0,-0.171428571429,0.542857142857,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-28,0,0,0,0,0.0,0.0,0
2017-10-29,0,0,0,0,0.0,0.0,0
2017-10-30,0,1,0,0,-0.214285714286,0.428571428571,0
2017-11-01,0,0,0,1,-0.142857142857,0.285714285714,0
2017-11-02,0,0,0,0,0.25,0.45,0
2017-11-03,0,0,0,0,0.3,0.929166666667,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-06,0,1,0,0,-0.178571428571,0.507142857143,0
2017-11-07,0,0,0,0,0.22619047619,0.497619047619,0
2017-11-08,0,1,0,0,-0.178571428571,0.507142857143,0
2017-11-09,0,0,0,0,1.0,1.0,0
2017-11-10,0,1,0,0,0.392857142857,0.714285714286,0
2017-11-12,0,0,0,0,-0.0714285714286,0.142857142857,0
2017-11-14,0,0,0,0,0.525,2.4,0
2017-11-15,0,0,1,0,-0.0300324675325,1.8237012987,0
2017-11-16,0,0,0,0,0.0,0.0,0
