date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-15,0,0,0,0,0.0,0.0,0
2016-02-23,0,0,0,0,0.0,0.0,0
2016-03-07,0,0,0,0,0.0,0.0,0
2016-06-09,0,0,0,0,0.0,0.0,2
2016-07-13,0,0,0,0,0.0,0.0,0
2016-07-21,0,0,0,0,0.0,0.0,0
2016-08-23,0,0,0,0,0.0,0.0,0
2016-10-21,0,0,0,0,0.0,0.0,0
2016-11-17,0,0,0,1,-0.0625,0.1875,0
2017-01-03,0,0,0,0,0.107142857143,0.435714285714,0
2017-02-17,0,0,0,0,0.0,0.0,0
2017-02-22,0,0,0,0,0.0,0.0,0
2017-03-28,0,0,0,0,0.0833333333333,0.708333333333,0
2017-05-30,0,0,0,0,0.0,0.0,0
2017-06-08,0,0,0,0,0.2,0.25,0
2017-07-19,0,0,0,0,0.0,0.0,0
2017-08-24,0,0,0,0,0.0,0.0,0
2017-09-01,0,0,0,0,0.214285714286,0.571428571429,0
2017-09-28,0,0,0,0,0.0,1.0,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.2,1.2,0
2017-10-26,0,1,0,0,0.5,0.5,0
2017-10-28,0,0,0,0,-0.625,1.0,0
2017-10-30,0,0,0,0,0.136363636364,0.454545454545,0
2017-11-02,0,1,0,0,0.0,0.0,0
2017-11-03,0,1,0,0,0.0,0.0,0
2017-11-05,0,1,0,0,0.7,0.6,0
2017-11-06,0,0,0,0,0.3,0.1,0
2017-11-07,0,0,0,0,0.0,0.4,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.35,0.3,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.655844155844,1.18831168831,0
2017-11-14,0,0,0,0,0.975,1.7,0
2017-11-15,0,1,0,0,0.136363636364,0.554545454545,0
2017-11-16,0,0,0,0,0.0,0.0,0
