date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-02,0,0,0,0,0.0,1.0,0
2015-12-15,0,0,0,0,0.0,0.0,0
2015-12-19,0,0,0,0,0.0,0.0,0
2016-01-07,0,0,0,0,0.0,0.0,0
2016-01-19,0,0,0,0,-0.15,0.8,0
2016-02-03,0,0,0,0,2.77555756156e-17,0.725,0
2016-02-04,0,0,0,0,0.25,0.333333333333,0
2016-02-25,0,0,0,0,0.0,0.0,0
2016-02-26,0,0,0,0,-0.025,0.825,0
2016-03-16,0,0,0,0,0.1,0.1,0
2016-04-14,0,0,0,0,0.0,0.0,0
2016-05-04,0,0,0,0,0.0,0.0,0
2016-05-09,0,0,0,0,0.0,0.0,0
2016-05-31,0,0,0,0,0.125,0.166666666667,0
2016-06-14,0,0,0,0,0.1,0.4,0
2016-06-24,0,0,0,0,0.0,0.0,0
2016-07-12,0,0,0,0,0.233333333333,0.322222222222,0
2016-07-18,0,0,0,0,0.0,0.0,0
2016-07-22,0,0,0,0,0.0,1.0,0
2016-07-25,0,0,0,0,0.0,0.0,0
2016-08-04,0,0,0,0,0.0,0.0,0
2016-09-13,0,0,0,0,0.0,0.0,0
2016-10-14,0,0,0,0,-0.3,0.5,0
2016-11-01,0,0,0,0,0.1,0.4,0
2016-11-02,0,0,0,0,0.0,0.0,0
2016-11-30,0,0,0,0,0.0,0.0,0
2017-02-07,0,0,0,0,0.0,0.0,0
2017-02-08,0,0,0,0,0.0,0.0,0
2017-02-10,0,0,0,0,0.0,0.0,0
2017-02-28,0,0,0,0,0.0,0.0,0
2017-03-07,0,0,0,0,0.0,0.0,0
2017-03-21,0,0,0,0,-0.05,0.2,0
2017-04-05,0,0,0,0,0.0,0.0,0
2017-08-03,0,0,0,0,0.0,0.0,0
2017-08-04,0,0,0,0,0.0,0.0,0
2017-08-05,0,0,0,0,0.0,0.0,0
2017-08-21,0,0,0,0,0.0,0.0,0
2017-08-25,0,0,0,0,0.0,0.125,0
2017-08-30,0,0,0,0,0.0,0.625,0
2017-09-01,0,0,0,0,0.0,0.0,0
2017-09-21,0,0,0,0,0.0,0.0,0
2017-09-27,0,0,0,0,0.0,0.0,0
2017-10-04,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-18,0,1,0,0,-0.0363636363636,2.11161616162,0
2017-10-22,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.0,0.0833333333333,0
2017-10-25,0,0,0,0,0.075,1.3,0
2017-10-26,0,0,0,0,1.00833333333,1.79166666667,0
2017-10-30,0,0,0,0,0.25,1.5,0
2017-10-31,0,0,0,0,0.1,0.4,0
2017-11-01,0,2,0,0,-0.291666666667,1.74166666667,0
2017-11-02,0,0,0,0,0.116666666667,0.533333333333,0
2017-11-03,0,0,0,0,0.8,0.85,0
2017-11-04,0,0,0,0,0.0,0.1,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,1,0,0,1.68571428571,2.23571428571,0
2017-11-09,0,0,0,0,0.6625,1.875,0
2017-11-10,0,1,0,0,0.0,1.55,0
2017-11-11,0,0,0,0,0.245454545455,0.718181818182,0
2017-11-13,0,0,0,0,0.0,0.0,0
2017-11-14,0,0,0,0,0.15625,0.5,0
2017-11-15,0,1,0,0,0.3,1.6,0
