date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-02-09,0,0,0,0,0.0,0.0,0
2016-03-23,0,0,0,0,0.136363636364,0.454545454545,0
2016-04-26,0,0,0,0,0.0,0.0,0
2016-06-29,0,0,0,0,-0.3,0.5,0
2016-07-22,0,0,0,0,0.0,0.0,0
2016-08-09,0,0,0,0,0.0,0.0,0
2016-10-21,0,0,0,0,0.0,0.0,0
2016-12-01,0,0,1,0,0.0,0.0,0
2017-01-20,0,0,0,0,0.0,0.0,0
2017-02-24,0,0,0,0,0.0,0.375,0
2017-04-21,0,0,0,0,0.0,0.0,0
2017-06-28,0,0,0,0,-0.3,0.5,0
2017-07-21,0,0,0,0,0.0,0.0,0
2017-08-08,0,0,0,0,-0.3,0.5,0
2017-09-12,0,0,0,0,0.5,0.833333333333,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-11-07,0,1,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-14,0,3,0,0,0.0,0.0,0
2017-11-15,0,13,0,0,-0.227777777778,1.79444444444,0
2017-11-16,0,0,0,0,0.0,0.0,0
