date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-19,0,0,0,0,0.0,0.0,0
2016-01-07,0,0,0,0,0.0,0.0,0
2016-03-09,0,0,0,0,-0.0625,0.2375,0
2016-06-03,0,0,0,0,0.0,0.0,0
2016-06-30,0,0,0,0,0.0,0.0,0
2016-07-22,0,0,0,0,0.0,0.0,0
2016-09-30,0,0,0,0,0.0,0.0,0
2016-10-05,0,0,0,0,0.16,0.54,0
2016-10-16,0,0,1,0,0.0,0.0,0
2016-10-17,0,0,1,0,0.0,0.0,0
2016-10-31,0,0,0,0,0.0,0.0,0
2016-11-10,0,0,0,0,0.0,0.0,0
2016-11-21,0,0,0,0,0.136363636364,0.454545454545,0
2016-11-29,0,0,0,0,0.0,0.0,0
2017-01-05,0,0,0,0,0.0,0.175,0
2017-01-25,0,0,0,0,0.0,0.0,0
2017-04-06,0,0,0,0,0.0,0.0,0
2017-06-02,0,0,0,0,0.0,0.75,0
2017-06-16,0,0,0,0,0.0,0.0,0
2017-06-29,0,0,0,0,0.0,0.0,0
2017-07-19,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,0.0,0
2017-08-10,0,0,0,0,0.0,0.0,0
2017-10-05,0,0,0,0,0.0,0.0,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-18,0,1,0,0,-0.155555555556,0.288888888889,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-29,0,0,0,0,0.295454545455,0.501515151515,0
2017-10-30,0,1,0,0,0.1,0.35,0
2017-10-31,0,1,0,0,1.61428571429,2.72857142857,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,1,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.517857142857,1.64285714286,0
2017-11-06,0,1,1,0,-0.4,0.7,0
2017-11-07,0,0,0,0,0.227272727273,0.545454545455,0
2017-11-08,0,0,0,0,0.75,1.0,0
2017-11-09,0,0,0,0,0.4375,1.05,0
2017-11-10,0,1,0,0,0.0,0.0,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,1,0,0.0,0.0,0
2017-11-13,0,1,0,0,2.02272727273,2.55909090909,0
2017-11-14,0,2,1,0,2.89636363636,3.94454545455,0
2017-11-15,0,1,1,0,0.5,0.5,0
2017-11-16,0,0,0,0,0.0,0.0,0
