date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-03-01,0,0,0,0,0.0,0.0,0
2016-06-14,0,0,0,0,0.0833333333333,0.2,0
2016-07-07,0,0,0,0,0.0,0.0,0
2016-07-19,0,0,0,0,0.0,0.0,0
2016-07-22,0,0,0,0,0.0,0.0,0
2016-08-24,0,0,0,0,0.0,0.0,0
2016-09-16,0,0,0,0,0.0,0.625,0
2017-01-20,0,0,0,0,0.0,0.0,0
2017-02-14,0,0,0,0,0.0,0.0,0
2017-02-21,0,0,0,0,0.0,0.0,0
2017-03-20,0,1,0,0,0.0,0.0,0
2017-05-18,0,0,0,0,0.0,0.0,0
2017-07-21,0,0,0,0,0.0,0.0,0
2017-10-20,0,1,0,0,0.5,0.55,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,1,1,0,-0.2,0.35,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,1.0,1.0625,0
2017-11-09,0,0,0,0,0.0166666666667,0.516666666667,0
2017-11-10,0,0,0,0,0.3,0.5,0
2017-11-11,0,0,0,0,0.5,0.15,0
2017-11-12,0,0,0,0,0.315909090909,1.50303030303,0
2017-11-13,0,0,0,0,0.0,0.05,0
2017-11-14,0,0,0,0,0.6,1.11666666667,0
2017-11-15,0,1,1,0,0.4,0.58,0
2017-11-16,0,0,0,0,0.0,0.0,0
