date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-21,0,0,0,0,0.0,0.0,0
2016-01-19,0,0,0,0,0.0,0.0,0
2016-02-04,0,0,0,0,0.0,0.0,0
2016-04-28,0,0,0,0,-0.155555555556,0.288888888889,0
2016-05-12,0,0,0,0,0.0,0.0,0
2016-06-15,0,0,0,0,0.0333333333333,0.0833333333333,0
2016-07-05,0,0,0,0,0.0,0.0,0
2016-07-11,0,0,0,0,0.0,0.1,0
2016-08-04,0,0,0,0,0.0,0.0,0
2016-10-11,0,0,0,0,0.0,0.0,0
2016-11-03,0,0,0,0,0.0,0.0,0
2016-11-04,0,0,0,0,-0.8,1.0,0
2016-11-16,0,0,0,0,0.0,0.0,0
2016-11-21,0,0,0,0,0.0,0.0,0
2017-01-17,0,0,0,0,0.0,0.0,0
2017-02-01,0,0,0,0,0.0,0.0,0
2017-02-10,0,0,0,0,0.0,0.0,0
2017-03-02,0,0,0,0,0.0,0.0,0
2017-03-13,0,0,0,0,0.0,0.0,0
2017-04-18,0,0,0,0,0.0,0.0,0
2017-06-08,0,0,0,0,0.0,0.0,0
2017-07-05,0,0,0,0,0.0,0.0,0
2017-07-06,0,0,0,0,0.0,0.0,0
2017-08-02,0,0,0,0,0.0,0.65,0
2017-08-04,0,0,0,0,0.0,0.0,0
2017-08-16,0,0,0,0,0.0,0.75,0
2017-08-28,0,0,0,0,0.0,0.0,0
2017-10-10,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-10-22,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-26,0,1,0,0,-0.5,0.5,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.7,0.85,0
2017-11-02,0,0,0,0,0.177777777778,0.788888888889,0
2017-11-03,0,0,0,0,0.5,0.8,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,1,0,0.3,0.6,0
2017-11-07,0,0,0,0,0.0,0.1,0
2017-11-08,0,0,0,0,0.0,0.1,0
2017-11-09,0,0,0,0,-0.04,0.54,0
2017-11-10,0,0,0,0,1.42857142857,1.3,0
2017-11-11,0,0,0,0,0.6,0.95,0
2017-11-13,0,2,1,0,0.0,0.1,0
2017-11-14,0,0,0,0,-0.133333333333,0.6,0
2017-11-15,0,0,0,0,0.15,2.65,0
