date,scandal,buy,sell,decline,positivity,subjectivity
2015-11-18,0,0,0,0,0.0,0.0
2016-02-19,0,0,0,0,0.0583333333333,0.625
2016-02-22,0,0,0,0,0.0,0.0
2016-02-25,0,0,0,0,0.0,0.0
2016-02-29,0,0,0,0,-0.4,0.6
2016-06-23,0,0,0,0,0.0,0.0
2016-07-01,0,1,0,0,0.8,0.9
2016-08-15,0,0,0,0,0.0,0.0
2016-11-07,0,0,0,0,0.0,0.0
2016-11-16,0,0,0,0,0.0,0.0
2017-02-06,0,0,0,0,0.0,0.0
2017-02-24,0,0,0,0,0.0,0.0769230769231
2017-07-17,0,0,0,0,0.0,0.0
2017-07-28,0,0,0,0,0.0,0.0769230769231
2017-08-14,0,0,0,0,0.0,0.0
2017-10-02,0,0,1,0,0.0,0.0
2017-10-03,0,1,0,0,0.136363636364,0.454545454545
2017-10-04,0,0,0,0,0.0,0.0
2017-10-05,0,0,0,0,0.075,0.554166666667
2017-10-06,0,0,0,0,0.0,0.0
2017-10-09,0,0,1,0,0.0,0.1
2017-10-10,0,0,0,0,0.0,0.0
2017-10-11,0,2,0,0,-0.34,2.14
2017-10-12,0,1,1,0,0.3,1.4
2017-10-13,0,0,0,0,1.00625,1.93333333333
2017-10-14,0,1,1,0,0.2,0.941666666667
2017-10-15,0,0,0,0,0.6,0.95
2017-10-16,0,1,0,0,1.26303030303,4.39454545455
