date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-26,0,0,0,0,0.0,0.0666666666667,0
2016-02-25,0,0,0,0,0.0,0.0769230769231,0
2016-03-31,0,0,0,0,0.0,0.0,0
2016-05-13,0,0,0,0,0.0,0.0,0
2016-06-28,0,0,0,0,0.0,0.0666666666667,0
2016-06-29,0,0,0,0,0.0,0.0666666666667,0
2016-07-21,0,0,0,0,0.0,0.0769230769231,0
2016-07-25,0,0,0,0,0.0,0.0,0
2016-08-02,0,0,0,0,0.1875,0.4125,0
2016-08-11,0,0,0,0,0.0,0.0,0
2016-11-01,0,0,0,0,0.0,0.0,0
2016-11-17,0,0,0,0,0.0,0.0,0
2017-02-14,0,0,0,0,0.0,0.0,0
2017-02-16,0,0,0,0,0.0,0.0769230769231,0
2017-03-06,0,0,0,0,0.0,0.0,0
2017-03-07,0,0,0,0,0.0,0.0,0
2017-05-03,0,0,0,0,0.0,0.0,0
2017-05-18,0,0,0,0,0.0,0.0769230769231,0
2017-06-06,0,0,0,0,0.0,0.0,0
2017-07-12,0,0,0,0,-0.166666666667,0.166666666667,0
2017-07-13,0,0,0,0,0.0,0.0,0
2017-08-14,0,0,0,0,0.0,0.0,0
2017-10-16,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.4,0
2017-10-21,0,0,0,0,-0.1,0.4,0
2017-10-23,0,0,0,0,0.7,1.15,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,1,0,0.8,2.63333333333,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.5,1.5,0
2017-10-31,0,0,0,0,0.3,0.75,0
2017-11-01,0,0,0,0,-1.05555555556,1.73888888889,0
2017-11-02,0,0,0,0,0.75,0.75,0
2017-11-03,0,1,0,0,-0.7,1.66666666667,0
2017-11-06,0,1,0,0,-0.0318181818182,0.327272727273,0
2017-11-07,0,1,0,0,1.45,1.43055555556,0
2017-11-08,0,0,0,0,-0.3,1.8,0
2017-11-09,0,0,0,0,0.5,1.2,0
2017-11-10,0,0,0,0,0.0,0.0666666666667,0
2017-11-13,0,0,0,0,0.636363636364,1.15454545455,0
2017-11-14,0,2,1,0,0.886363636364,1.28787878788,0
2017-11-15,0,2,0,0,0.536363636364,1.25454545455,0
2017-11-16,0,1,0,0,0.0,0.0,0
