date,scandal,buy,sell,decline,positivity,subjectivity
2016-05-17,0,0,0,0,0.0,0.0
2016-09-07,0,0,0,0,0.0,0.0
2016-09-16,0,0,0,0,0.0,0.0
2016-11-15,0,0,0,0,0.0,0.0
2016-11-30,0,0,0,0,0.0,0.0
2017-02-22,0,0,0,0,0.0681818181818,0.227272727273
2017-04-04,0,0,0,0,-0.3,0.5
2017-08-15,0,0,0,0,0.0,0.0
2017-10-02,0,0,0,0,-0.5,0.5
2017-10-03,0,1,0,0,-0.75,0.75
2017-10-04,0,1,0,0,0.5,1.5
2017-10-05,0,0,0,0,0.0,0.0
2017-10-06,0,0,0,0,0.0,0.0
2017-10-07,0,0,0,0,0.0,0.0
2017-10-09,0,0,0,0,0.136363636364,1.75454545455
2017-10-10,0,1,0,0,0.35,1.15
2017-10-11,0,1,0,0,0.483333333333,2.83333333333
2017-10-12,0,0,0,0,0.318181818182,1.57727272727
2017-10-13,0,1,1,0,2.43928571429,4.61785714286
2017-10-14,0,0,0,0,0.0,0.0
2017-10-15,0,0,0,1,0.0363636363636,0.854545454545
2017-10-16,0,1,1,2,1.30454545455,3.23181818182
