date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-06-07,0,0,0,0,0.0,0.0,0
2016-07-12,0,0,0,0,0.136363636364,0.454545454545,0
2016-08-03,0,0,0,0,0.0,0.0,0
2016-08-24,0,0,0,0,0.0,0.0,0
2016-10-12,0,0,0,0,0.0,0.0,0
2017-01-09,0,0,0,0,0.0,0.666666666667,0
2017-01-18,0,0,0,0,0.0,0.0,0
2017-02-15,0,0,0,0,0.0,0.75,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.25,0.5,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,1,-0.35,2.3,0
2017-11-07,0,0,0,0,0.625,2.025,0
2017-11-08,0,0,0,0,0.0944444444444,1.03888888889,0
2017-11-09,0,2,0,0,-0.0375,0.125,0
2017-11-10,0,0,0,0,0.0,0.1,0
2017-11-11,0,0,0,0,0.75,1.25,0
2017-11-13,0,0,0,0,0.3,0.7,0
2017-11-14,0,0,0,0,0.7,4.98333333333,0
2017-11-15,0,2,0,0,1.53333333333,2.75,0
