date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-06-17,0,0,0,0,0.0,1.0,0
2016-07-21,0,0,0,0,0.0,0.0,0
2016-08-19,0,0,0,0,0.0,0.0,0
2016-11-08,0,0,0,0,-0.166666666667,0.166666666667,0
2016-11-10,0,0,0,0,0.0,0.0,0
2017-03-13,0,0,0,0,0.0,0.0,0
2017-03-20,0,0,0,0,0.25,0.5,0
2017-03-31,0,0,0,0,0.0,0.75,0
2017-05-03,0,0,0,0,0.0,0.0,0
2017-06-29,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,0.0,0
2017-08-04,0,0,0,0,0.0,0.0,0
2017-09-11,0,0,0,0,0.0,0.4,0
2017-10-02,0,0,0,0,0.0,0.0,0
2017-10-03,0,0,0,0,-0.2,0.35,0
2017-10-04,0,0,0,0,0.0,0.0,0
2017-10-05,0,0,0,0,1.0,0.3,0
2017-10-06,0,1,0,0,0.05,0.1,0
2017-10-07,0,0,0,1,0.0,0.0,0
2017-10-09,0,0,2,0,-0.0191919191919,0.993434343434,0
2017-10-11,0,1,1,0,-0.380555555556,1.20138888889,0
2017-10-12,0,0,0,0,0.0,0.0,0
2017-10-13,0,1,0,1,0.322916666667,0.933333333333,0
2017-10-14,0,0,0,1,-0.25,0.4,0
2017-10-15,0,0,0,1,-0.1,0.485714285714,0
2017-10-16,0,2,0,0,0.575,3.425,0
