date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-20,0,0,0,0,0.0,0.0,0
2015-12-18,0,0,0,0,-0.175,0.9,0
2016-02-10,0,0,0,0,0.0,0.0,0
2016-03-22,0,0,0,0,0.0625,0.5,0
2016-05-09,0,0,0,0,0.7,0.6,0
2016-08-08,0,0,0,0,0.0,0.0,0
2016-10-07,0,0,0,0,0.0,0.0,0
2016-10-10,0,0,0,0,0.0,0.0,0
2016-11-21,0,0,0,0,0.0,0.0,0
2016-12-05,0,0,0,0,0.0,0.0,0
2016-12-06,0,0,0,0,0.0,0.0,0
2016-12-20,0,0,0,0,0.0,0.4,0
2017-01-03,0,0,0,0,0.0,0.0,0
2017-02-06,0,0,0,0,0.0,0.0,0
2017-02-13,0,0,0,0,0.0,0.0,0
2017-02-27,0,0,0,0,0.0,0.0,0
2017-04-24,0,0,0,0,0.0,0.0,0
2017-05-23,0,0,0,0,0.0,0.0666666666667,0
2017-06-12,0,0,0,0,0.0,0.0,0
2017-08-07,0,0,0,0,0.0,0.0,3
2017-08-16,0,0,0,0,0.0,0.0,0
2017-08-18,0,0,0,0,0.0,0.0,0
2017-08-21,0,0,0,0,0.0,0.0,0
2017-08-25,0,0,0,0,-0.1,0.6,0
2017-09-05,0,0,0,0,-0.3,0.4,0
2017-09-28,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,-0.166666666667,1.68333333333,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.5,0.5,0
2017-10-27,0,1,0,0,0.0,0.0,0
2017-10-31,0,1,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.5,0.933333333333,0
2017-11-07,0,0,0,0,-0.4,0.7,0
2017-11-08,0,0,0,0,-0.1875,0.875,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,1,2,0,-0.15,0.4,0
2017-11-12,0,0,1,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.467727272727,3.15575757576,0
2017-11-14,0,0,0,0,1.05952380952,2.20317460317,0
2017-11-15,0,0,0,0,2.72803030303,5.42954545455,0
2017-11-16,0,0,0,0,1.0,2.0,0
