date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-21,0,0,0,0,0.0,0.0,0
2016-07-21,0,0,0,0,0.0,0.0,0
2016-07-25,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-12-01,0,0,0,0,0.0,0.2,0
2017-01-24,0,0,0,0,0.0,0.0,0
2017-04-19,0,0,0,0,0.0,0.0,0
2017-07-25,0,0,0,0,0.0,0.0,0
2017-10-02,0,0,0,0,0.0,0.0,0
2017-10-04,0,0,0,0,0.16,0.54,0
2017-10-06,0,0,0,0,-0.2,0.1,0
2017-10-08,0,0,0,0,0.0,0.0,0
2017-10-09,0,0,0,0,1.03333333333,1.1,0
2017-10-10,0,1,1,0,-0.05,0.65,0
2017-10-11,0,0,1,0,0.366666666667,1.44166666667,0
2017-10-12,0,1,0,0,1.19166666667,3.15833333333,0
2017-10-13,0,0,0,0,0.375,0.975,0
2017-10-14,0,0,0,0,1.25,1.88333333333,0
2017-10-15,0,0,0,0,0.15625,0.5,0
2017-10-16,0,2,1,0,1.46666666667,5.1,0
