date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-10,0,0,0,0,0.0,0.0,0
2015-11-25,0,0,0,0,0.0,0.0,0
2016-01-07,0,0,0,0,-0.2,0.3,0
2016-02-17,0,0,0,0,0.0,0.0,0
2016-02-19,0,0,0,0,0.0,0.0,0
2016-03-08,0,0,0,0,0.0,1.0,0
2016-05-09,0,0,0,0,-0.4,0.7,0
2016-05-13,0,0,0,0,0.0,0.0,0
2016-05-28,0,0,0,0,0.0,0.0,0
2016-06-01,0,0,0,0,0.0,1.0,0
2016-06-02,0,0,0,0,0.0,2.0,0
2016-06-03,0,0,0,0,0.0,1.0,0
2016-06-08,0,0,0,0,0.0,0.0,0
2016-06-17,0,0,0,0,0.0,0.0,0
2016-07-07,0,0,0,0,0.0,0.0,0
2016-07-11,0,0,0,1,0.0,0.0,0
2016-07-14,0,0,0,0,0.0,0.0,0
2016-07-19,0,0,0,0,0.0,0.0,0
2016-08-03,0,0,0,0,0.0,0.0,0
2016-08-08,0,0,0,0,0.0,0.0,0
2016-08-12,0,0,0,0,0.0,0.0,0
2016-08-18,0,0,0,0,0.0,0.0,0
2016-09-01,0,0,0,0,0.0,0.0,0
2016-09-09,0,0,0,0,0.0,0.0,0
2016-09-15,0,0,0,0,0.0,0.0,0
2016-09-28,0,0,0,0,0.0,0.533333333333,0
2016-09-29,0,0,0,0,0.0,0.0,0
2016-10-11,0,0,0,0,0.0,0.0,0
2016-10-17,0,0,0,0,0.0,0.0,0
2016-11-08,0,0,0,0,-0.4,0.7,0
2016-11-28,0,0,0,0,0.0,0.0,0
2016-11-29,0,0,0,0,0.0,0.0,0
2016-11-30,0,0,0,0,0.0,0.0,0
2016-12-02,0,0,0,0,-0.0888888888889,0.388888888889,0
2016-12-05,0,0,0,0,0.0,0.0,0
2016-12-08,0,0,0,0,0.0,0.0,0
2016-12-19,0,0,0,0,0.136363636364,0.454545454545,0
2017-01-10,0,0,0,0,0.125,0.25,0
2017-01-17,0,0,0,0,0.0,0.0,0
2017-01-23,0,0,0,0,-0.15,0.425,0
2017-01-24,0,0,0,0,0.136363636364,0.454545454545,0
2017-01-26,0,0,0,0,0.0,0.0666666666667,0
2017-02-01,0,0,0,0,0.0,0.0,0
2017-02-10,0,0,0,0,0.136363636364,0.454545454545,0
2017-02-21,0,0,0,0,0.0,0.125,0
2017-02-24,0,0,0,0,0.0,0.0,0
2017-02-28,0,0,0,0,0.0,0.0,0
2017-03-08,0,0,0,0,-0.4,0.7,0
2017-03-15,0,0,0,0,0.0,0.0,0
2017-03-21,0,0,0,0,0.0,0.0,0
2017-03-29,0,0,0,0,0.0,0.0,0
2017-04-03,0,0,0,0,0.0,0.0,0
2017-04-10,0,0,0,0,0.0,0.0,0
2017-04-11,0,0,0,0,0.5,1.0,0
2017-04-12,0,0,0,0,0.5,0.5,0
2017-04-14,0,0,0,0,-0.4,0.7,0
2017-04-17,0,0,0,0,0.0,0.0,0
2017-06-01,0,0,0,0,0.0,0.0,0
2017-06-07,0,0,0,0,0.0,0.0,0
2017-06-13,0,0,0,0,0.0,0.0,0
2017-06-15,0,0,0,0,0.0,0.0,0
2017-07-03,0,0,0,0,0.0,0.0,0
2017-07-11,0,0,0,0,0.00833333333333,0.425,0
2017-07-18,0,0,0,0,0.0,0.0,0
2017-07-19,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,0.0,0
2017-07-26,0,0,0,0,0.0,0.0,0
2017-08-08,0,0,0,0,0.0,0.0,0
2017-08-10,0,0,0,0,0.0,0.0,0
2017-08-28,0,0,0,0,0.0,0.0,0
2017-09-05,0,0,0,0,0.0,0.0,0
2017-09-06,0,0,0,0,0.136363636364,0.454545454545,0
2017-09-07,0,0,0,0,0.0,0.0,0
2017-09-08,0,0,0,0,0.0,0.0,0
2017-09-26,0,0,0,0,0.0,0.0,0
2017-09-29,0,0,0,0,0.0,0.0666666666667,0
2017-10-10,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,1,-0.285714285714,0.988095238095,0
2017-10-19,0,0,0,0,-0.05,0.4,0
2017-10-20,0,1,0,0,0.136363636364,0.454545454545,0
2017-10-22,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,-0.155555555556,0.288888888889,0
2017-10-30,0,0,0,0,0.136363636364,0.454545454545,0
2017-10-31,0,1,0,0,0.35,0.65,0
2017-11-01,0,2,0,0,0.51,0.89,0
2017-11-02,0,0,0,0,0.175,0.825,0
2017-11-03,0,0,0,0,0.3,0.1,0
2017-11-05,0,0,0,0,0.187878787879,1.34848484848,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.5,0.5,0
2017-11-08,0,0,0,0,0.688888888889,1.64444444444,0
2017-11-09,0,0,0,0,-0.15,0.75,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,1,0,0.0,0.8,0
2017-11-14,0,1,0,0,1.7296969697,2.02787878788,0
2017-11-15,0,0,0,0,1.96666666667,2.6,0
