date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-18,0,0,0,0,0.0,0.0,0
2016-01-20,0,0,0,0,0.0,0.0,0
2016-04-20,0,0,0,0,0.0,0.0,0
2016-05-02,0,0,0,0,0.3,0.45,0
2016-07-26,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-11-14,0,0,0,0,0.0,0.25,0
2016-12-05,0,1,1,0,0.15,0.45,0
2016-12-29,0,0,0,0,0.0,0.0,0
2017-02-28,0,0,0,0,0.0,0.0,0
2017-04-21,0,0,0,0,0.0,0.0,0
2017-04-25,0,0,0,0,0.0,0.0,0
2017-07-25,0,0,0,0,0.0,0.0,0
2017-10-16,0,0,0,0,-0.05,0.15,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,1,0,0.0,0.0333333333333,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-22,0,0,1,0,-0.0357142857143,0.0714285714286,0
2017-10-25,0,0,0,0,-0.3,1.15,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,0.475,0.725,0
2017-10-29,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.5,0.5,0
2017-11-01,0,1,1,0,0.0681818181818,0.227272727273,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.0,0.0333333333333,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,0.0,0.05,0
2017-11-09,0,0,0,0,0.0,0.2,0
2017-11-10,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.125,0.25,0
2017-11-14,0,1,1,0,0.633333333333,0.9,0
2017-11-15,0,2,0,1,0.0,0.0,0
2017-11-16,0,0,0,0,0.0,0.0,0
