date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-15,0,0,0,0,0.0,0.0,0
2016-02-02,0,0,0,0,0.0,0.0,0
2016-04-04,0,1,0,0,0.0,0.0,0
2016-05-09,0,0,0,0,0.0,0.0,0
2016-05-26,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-12-15,0,0,0,0,0.0,0.0,0
2017-02-01,0,0,0,0,0.0,0.0,0
2017-04-14,0,0,0,0,0.0,0.0,0
2017-05-25,0,0,0,0,-0.3,0.5,0
2017-08-22,0,0,0,0,0.0,0.625,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,-0.1,0.4,0
2017-10-21,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.210416666667,0
2017-10-24,0,0,0,0,-0.104166666667,0.566666666667,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,1,0,0.416666666667,0.833333333333,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.5,0.5,0
2017-10-31,0,0,0,0,-0.4,0.7,0
2017-11-01,0,0,0,0,0.166666666667,0.333333333333,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,1,1,0,0.84053030303,1.7101010101,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.05,0.45,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,0,0,0,-0.15,1.2625,0
2017-11-09,0,0,0,0,0.45,0.85,0
2017-11-10,0,0,0,0,0.0,0.55,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,0.0,0.5,0
2017-11-14,0,1,0,0,0.5,0.566666666667,0
2017-11-15,0,0,0,0,0.05,0.8,0
2017-11-16,0,0,0,0,0.25,0.5,0
