date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-23,0,0,0,0,0.0,0.0,0
2016-01-27,0,0,0,0,0.0,0.0,0
2016-05-23,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.0,0.0,3
2016-09-15,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-12-07,0,0,0,0,0.0,0.0,0
2016-12-22,0,1,0,0,0.0,0.0,0
2016-12-30,0,0,0,0,0.0,0.375,0
2017-01-10,0,0,0,0,0.0,0.0,0
2017-01-25,0,0,0,0,0.0,0.0,1
2017-04-03,0,0,0,0,0.0,0.0,0
2017-04-05,0,0,0,0,0.0,0.0,0
2017-06-05,0,0,0,0,0.0,0.0,0
2017-07-26,0,0,0,0,0.0,0.0,6
2017-08-09,0,0,0,0,0.0,0.0,0
2017-09-05,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,1,0,0.0681818181818,0.227272727273,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-10-22,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,-0.0833333333333,0.6,4
2017-10-26,0,0,0,0,0.0,0.2,0
2017-10-27,0,0,0,0,0.725,1.85,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,-0.0666666666667,0.3,0
2017-11-03,0,0,0,0,0.08,0.27,0
2017-11-04,0,0,0,0,0.3,0.475,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.125,0.5,0
2017-11-07,0,1,0,0,0.5,0.5,0
2017-11-08,0,1,1,0,0.2,0.2,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,1,0,0,0.0,0.0,0
2017-11-13,0,1,1,0,0.457142857143,0.564285714286,0
2017-11-14,0,0,0,0,-0.2,0.35,0
2017-11-15,0,0,0,0,0.0,0.125,0
2017-11-16,0,1,0,0,0.0,0.0,0
