date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-03-08,0,0,0,0,0.0,0.0,0
2016-05-25,0,0,0,0,0.0,0.0,0
2016-05-31,0,0,0,0,0.0,0.0,0
2016-07-06,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.0,0.0,0
2016-08-15,0,0,0,0,0.1,0.4,0
2016-10-14,0,0,0,0,0.0,0.0,0
2016-10-17,0,0,0,0,0.0,0.0,0
2016-10-25,0,0,0,0,0.0,0.0,0
2016-12-02,0,0,0,0,0.0,0.0,0
2016-12-19,0,0,0,0,0.0,0.0,0
2017-01-25,0,0,0,0,0.0,0.0,0
2017-03-06,0,0,0,0,0.0,0.0,0
2017-05-22,0,0,0,0,0.0,0.0,0
2017-07-13,0,0,0,0,0.0,0.0,0
2017-07-24,0,0,0,0,0.0,0.0,0
2017-07-26,0,0,0,0,0.2,0.35,3
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,0.0,0.0,0
2017-10-20,0,1,0,0,0.0,0.25,0
2017-10-23,0,0,0,0,0.25,0.3,0
2017-10-24,0,0,0,0,0.8,0.85,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.0,0.0,0
2017-10-27,0,0,0,0,1.2,1.3,0
2017-10-28,0,1,0,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.25,0.333333333333,0
2017-11-01,0,0,0,0,0.0681818181818,0.227272727273,0
2017-11-02,0,0,1,0,0.535,1.515,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-06,0,1,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,0.572222222222,1.89444444444,0
2017-11-08,0,0,0,0,0.0,0.25,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,0.227272727273,0.545454545455,0
2017-11-13,0,1,0,0,0.65,3.43888888889,0
2017-11-14,0,0,0,0,0.5,0.5,0
2017-11-15,0,0,0,0,0.3,0.575,0
