date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-11,0,0,0,0,0.0,0.0769230769231,0
2016-02-12,0,0,0,0,0.0,0.0,0
2016-05-06,0,0,0,0,0.0,0.0,0
2016-05-25,0,0,0,0,0.0,0.0,0
2016-07-05,0,1,0,0,0.1,0.216666666667,0
2016-07-06,0,0,0,0,-0.3,0.5,0
2016-07-11,0,0,0,0,0.0,0.0,0
2016-08-11,0,0,0,0,0.0,0.0,0
2016-09-14,0,0,0,0,0.0,0.0,0
2016-09-26,0,0,0,0,-0.1,0.6,0
2016-10-05,0,0,0,0,0.0,0.0,0
2016-10-28,0,0,0,0,0.0,0.0,0
2016-11-08,0,0,0,0,0.0,0.0,0
2016-11-14,0,0,0,0,0.5,0.5,0
2017-01-10,0,0,0,0,0.0,0.0,0
2017-02-10,0,0,0,0,0.0,0.0,0
2017-02-28,0,0,0,0,0.0,0.0,0
2017-03-14,0,1,0,0,0.0,0.0,0
2017-03-22,0,0,0,0,0.0,0.0,0
2017-05-25,0,0,0,0,0.0,0.0,0
2017-07-01,0,0,1,0,0.7,0.95,0
2017-07-28,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-19,0,0,0,0,-0.1,0.4,0
2017-10-20,0,0,0,0,-0.155555555556,0.288888888889,0
2017-10-23,0,0,0,0,0.632467532468,1.0987012987,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,-0.05,0.241666666667,0
2017-10-27,0,0,1,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.136363636364,0.454545454545,0
2017-11-01,0,0,0,0,-0.555555555556,0.988888888889,0
2017-11-02,0,0,0,0,0.0,0.2,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-05,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.45,0.75,0
2017-11-07,0,0,0,0,0.0,0.0,0
2017-11-08,0,1,0,0,0.85,0.6,0
2017-11-09,0,0,0,0,0.9,1.41666666667,0
2017-11-10,0,1,0,0,1.0,0.3,0
2017-11-13,0,0,0,0,0.136363636364,1.30454545455,0
2017-11-14,0,1,2,0,0.16,0.54,0
2017-11-15,0,0,0,0,-0.0833333333333,0.145833333333,0
2017-11-16,0,0,0,0,0.0,0.0,0
