date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-12-03,0,0,0,0,0.0,0.0,0
2016-01-21,0,0,0,0,0.0,0.0,0
2016-07-27,0,0,0,0,0.0,0.0,0
2016-08-15,0,0,0,0,0.1,0.4,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-12-01,0,0,0,0,0.0,0.0,0
2017-01-19,0,0,0,0,0.0,0.0,0
2017-02-01,0,0,0,0,0.0,0.0,1
2017-02-14,0,0,0,0,-0.1,0.4,0
2017-04-10,0,0,0,0,-0.05,0.575,0
2017-07-26,0,0,0,0,0.0,0.0,0
2017-10-12,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,-0.4,0.7,0
2017-10-20,0,0,0,0,0.0,0.0,0
2017-10-23,0,0,0,0,0.0,0.0,0
2017-10-24,0,0,0,0,0.0,0.0,0
2017-10-25,0,0,0,0,0.0,0.0,0
2017-10-26,0,0,0,0,0.344444444444,1.18888888889,0
2017-10-29,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.344444444444,0.788888888889,0
2017-11-01,0,0,1,0,0.5,0.75,0
2017-11-02,0,0,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.25,0.5,0
2017-11-06,0,0,0,0,0.5,1.0,0
2017-11-07,0,0,0,0,0.0,0.1,0
2017-11-08,0,0,1,0,0.0,0.6,0
2017-11-09,0,1,0,0,-0.3,1.1,0
2017-11-10,0,0,0,0,0.0,0.8,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.0,0.0,0
2017-11-13,0,0,0,0,-0.05,0.241666666667,0
2017-11-14,0,0,0,0,-0.3,3.11666666667,0
2017-11-15,0,0,0,0,0.285714285714,0.535714285714,0
