date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-30,0,0,0,0,0.0,0.0,0
2016-01-26,0,0,0,0,-0.3,0.5,0
2016-02-25,0,0,0,0,0.0,0.0,0
2016-03-07,0,0,0,0,0.0,0.0,0
2016-04-26,0,0,0,0,0.0,0.0,0
2016-06-07,0,0,0,0,0.0,0.0,0
2016-06-09,0,0,0,0,0.0,0.0,0
2016-06-29,0,0,0,0,-0.3,0.5,0
2016-07-01,0,0,0,0,0.166666666667,0.2,0
2016-07-15,0,0,0,0,0.0,0.0,0
2016-07-18,0,1,0,0,0.136363636364,0.454545454545,0
2016-07-25,0,0,0,0,0.0,0.0,0
2016-07-26,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-08-03,0,0,0,0,0.0,0.0,0
2016-08-08,0,1,0,0,0.0,0.0,0
2016-08-11,0,0,0,0,0.0,0.0,0
2016-08-18,0,0,0,0,-0.125,0.375,0
2016-08-25,0,0,0,0,0.0,0.0,0
2016-08-31,0,0,0,0,0.0,0.0,0
2016-09-02,0,0,0,0,-0.05,0.4,0
2016-09-06,0,0,0,0,0.0,0.0,0
2016-09-13,0,0,0,0,0.0,0.0,0
2016-09-14,0,0,0,0,-0.15,0.425,0
2016-09-16,0,0,0,0,0.0,0.0,0
2016-09-19,0,0,0,0,0.410416666667,0.65,0
2016-09-20,0,0,0,0,0.0,0.0,0
2016-09-21,0,0,0,0,0.0,0.0,0
2016-09-23,0,0,0,0,-0.2,0.4,0
2016-09-27,0,0,0,0,0.0,0.5,0
2016-09-29,0,0,0,0,-0.1,0.1,0
2016-10-05,0,0,0,0,0.0,0.0,0
2016-10-07,0,0,0,0,0.4,0.7,0
2016-10-10,0,0,0,0,0.136363636364,0.454545454545,0
2016-10-11,0,0,0,0,0.025,0.391666666667,0
2016-10-12,0,0,0,0,0.0,0.4,0
2016-10-14,0,0,0,0,0.0,0.0,0
2016-10-18,0,0,0,0,-0.3,0.4,0
2016-10-24,0,0,0,0,0.0,0.0,0
2016-10-25,0,0,0,0,0.0,0.0,0
2016-10-31,0,0,0,0,-0.125,0.375,0
2016-11-02,0,0,0,0,-0.0416666666667,0.425,0
2016-11-03,0,0,0,0,0.0,0.0,0
2016-11-15,0,0,0,0,0.0,0.0,0
2016-11-17,0,0,0,0,0.0,0.0,0
2016-12-01,0,0,0,0,0.6,0.8,0
2016-12-09,0,0,0,0,0.0,0.0,0
2016-12-13,0,0,0,0,0.0,0.0,0
2016-12-14,0,0,0,0,0.0,0.0,0
2016-12-21,0,0,0,0,0.0,0.0,0
2017-01-12,0,0,0,0,0.25,0.333333333333,0
2017-01-13,0,0,0,0,0.0,0.0,0
2017-01-19,0,0,0,0,0.0,0.0,0
2017-01-24,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,0.0,0.0,0
2017-02-10,0,0,0,0,0.0,0.0,0
2017-02-13,0,0,0,0,-0.125,0.375,0
2017-02-17,0,0,0,0,-0.155555555556,0.288888888889,0
2017-02-20,0,0,0,0,0.136363636364,0.454545454545,0
2017-02-24,0,0,0,0,0.0,0.625,0
2017-03-06,0,0,0,0,0.0,0.0,0
2017-03-14,0,0,0,0,0.0,0.125,0
2017-03-20,0,0,0,0,0.0,0.0,0
2017-03-28,0,0,0,0,0.1,0.1,0
2017-03-30,0,0,0,0,0.0,0.0,0
2017-04-04,0,0,0,0,0.0,0.0,0
2017-04-11,0,0,0,0,0.0,0.0,0
2017-04-12,0,0,1,0,0.0,0.0,0
2017-04-13,0,0,0,0,0.0,0.0,0
2017-04-17,0,1,0,0,-0.3,0.5,0
2017-04-18,0,0,0,0,0.0,0.0,0
2017-04-21,0,0,0,0,0.0,0.0,0
2017-04-24,0,0,0,0,0.0,0.0,0
2017-04-25,0,0,0,0,0.0,0.0,0
2017-05-19,0,0,0,0,0.0,0.0,0
2017-06-01,0,0,0,0,0.0,0.0,0
2017-06-05,0,0,0,0,0.136363636364,0.454545454545,0
2017-06-27,0,0,1,0,0.0,0.0,0
2017-06-28,0,0,0,0,0.0,0.0,0
2017-07-06,0,0,0,0,0.0,0.0,0
2017-07-12,0,1,1,0,0.0,0.0,0
2017-07-14,0,0,0,0,0.0,0.0,0
2017-07-24,0,0,0,0,0.0681818181818,0.227272727273,0
2017-07-25,0,0,0,0,0.0,0.0,0
2017-08-04,0,0,0,0,0.0,0.4,0
2017-08-10,0,0,0,0,-0.155555555556,1.28888888889,0
2017-08-15,0,0,0,0,0.0,0.0,0
2017-10-03,0,0,0,0,0.0,0.75,0
2017-10-13,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.509523809524,0.867857142857,0
2017-10-20,0,0,1,0,0.3,0.45,0
2017-10-23,0,0,0,0,-0.1,0.2,0
2017-10-24,0,0,1,0,-0.0357142857143,0.307142857143,0
2017-10-27,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,1,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,0.136363636364,0.454545454545,0
2017-11-03,0,0,0,0,0.0,2.0,0
2017-11-06,0,0,0,0,0.0,1.0,0
2017-11-07,1,1,2,2,0.222727272727,1.50909090909,0
2017-11-08,0,0,0,0,0.0,0.0,0
2017-11-09,0,0,0,0,0.0,0.0,0
2017-11-10,0,0,0,0,-0.075,0.25,0
2017-11-13,0,1,0,0,0.0613636363636,0.504545454545,0
2017-11-14,0,2,1,0,-0.127272727273,3.50909090909,0
2017-11-15,0,0,0,0,0.286363636364,1.40454545455,0
2017-11-16,0,0,0,0,0.136363636364,0.454545454545,0
