date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-19,0,0,0,0,0.0,0.0,0
2016-05-14,0,0,0,0,0.0,0.0,0
2016-05-15,0,0,0,0,0.0,0.0,0
2016-05-24,0,0,0,0,0.0,0.0,0
2016-05-25,0,0,0,0,0.357142857143,0.571428571429,0
2016-05-26,0,0,0,0,0.0,0.0,0
2016-06-01,0,0,0,0,0.0,0.0,0
2016-06-21,0,0,0,0,0.0,0.0,0
2016-06-23,0,0,0,0,0.0,0.0,0
2016-06-24,0,0,0,0,0.0,0.0,0
2016-06-25,0,0,0,0,0.0,0.0,0
2016-06-27,0,0,0,0,-0.15,0.25,0
2016-06-29,0,0,0,0,0.0,0.0,0
2016-06-30,0,0,0,0,-0.5,0.3,0
2016-07-01,0,0,0,0,-0.155555555556,0.288888888889,0
2016-07-15,0,0,0,0,0.0,0.0,0
2016-08-01,0,0,0,0,0.0,0.0,0
2016-08-02,0,0,0,0,0.0,0.0,0
2016-08-08,0,0,1,0,0.0,0.0,0
2016-08-18,0,0,0,0,0.0,0.0,0
2016-08-22,0,0,0,0,0.0,0.0,0
2016-08-26,0,0,0,0,-0.3,0.5,0
2016-08-29,0,0,0,0,0.136363636364,0.454545454545,0
2016-09-02,0,0,0,0,0.0,0.0,0
2016-09-06,0,0,0,0,0.0,0.0,0
2016-09-07,0,0,0,0,0.0,0.0,0
2016-09-08,0,0,0,0,0.0,0.0,0
2016-09-26,0,0,0,0,0.0,0.0,0
2016-10-25,0,0,0,0,0.0,0.0,0
2016-10-31,0,0,0,0,0.0,0.0,0
2016-12-05,0,0,0,0,0.0,0.0,0
2016-12-14,0,0,0,0,0.0,0.0,0
2017-01-03,0,0,0,0,0.0,1.0,0
2017-01-09,0,0,0,0,0.0,0.0666666666667,0
2017-01-10,0,0,0,0,0.0,0.0666666666667,0
2017-01-25,0,0,0,0,0.0,0.0,0
2017-02-15,0,0,0,0,0.0,0.0,0
2017-02-21,0,0,0,0,0.0,0.0769230769231,0
2017-03-29,0,0,0,0,0.0,0.375,0
2017-04-17,0,0,1,0,0.0,0.0,0
2017-05-03,0,0,0,0,-0.15,0.25,0
2017-05-18,0,0,0,0,0.0,0.0769230769231,0
2017-05-31,0,0,0,0,0.0,0.0,0
2017-06-21,0,0,0,0,0.0,0.0,0
2017-07-11,0,0,0,0,0.0,0.0,0
2017-08-02,0,0,0,0,-0.15,0.25,0
2017-08-21,0,0,0,0,0.0,0.5,0
2017-08-28,0,0,0,0,0.0,0.0,0
2017-08-31,0,0,0,0,0.0,1.0,0
2017-09-01,0,0,0,0,0.0,0.0,0
2017-10-06,0,0,0,0,0.136363636364,0.454545454545,0
2017-10-20,0,0,0,0,0.5,0.833333333333,0
2017-10-25,0,1,1,0,0.0,0.0,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.1,0.4,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,0,0,0,-0.1,0.1,0
2017-11-03,0,0,0,0,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-07,0,0,0,0,1.91428571429,2.69642857143,0
2017-11-08,0,1,1,0,-0.15,0.4,0
2017-11-09,0,1,0,0,-0.85,1.8,0
2017-11-10,0,1,0,0,-0.2,0.05,0
2017-11-13,0,0,0,0,0.3,1.25,0
2017-11-14,0,0,0,0,1.6,3.83333333333,0
2017-11-15,0,0,0,0,-0.133333333333,1.8,0
2017-11-16,0,0,0,0,0.475,0.425,0
