date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-03-07,0,0,0,0,0.0,0.0,0
2016-05-20,0,0,0,0,0.0,0.0,0
2016-05-26,0,0,0,0,0.0,0.0,0
2016-06-14,0,0,0,0,-0.8,1.0,0
2016-06-23,0,0,0,0,0.0,0.1,0
2016-06-27,0,0,0,0,0.0,0.0,0
2016-07-11,0,0,0,0,0.0,0.0,0
2016-07-15,0,0,0,0,0.0,0.0,0
2016-07-20,0,0,0,0,0.0,0.0,0
2016-07-29,0,0,0,0,0.0,0.0,0
2016-08-04,0,0,0,0,0.0,0.0,0
2016-09-08,0,0,0,0,0.0,0.0,0
2016-10-11,0,0,0,0,0.0,0.0,0
2016-10-13,0,0,0,0,0.0,0.4,0
2016-10-19,0,0,0,0,0.0,0.0,0
2016-10-28,0,0,0,0,0.0,0.0,0
2016-11-07,0,0,0,0,-0.3,0.5,0
2016-12-02,0,0,0,0,-0.331818181818,0.727272727273,0
2016-12-07,0,0,0,0,0.1,0.4,0
2016-12-09,0,0,0,0,0.0,0.0,0
2016-12-21,0,0,0,0,0.0,0.0,0
2017-01-03,0,0,0,0,0.0,0.0,0
2017-01-27,0,0,0,0,0.136363636364,0.454545454545,0
2017-01-30,0,0,0,0,0.0,0.0,0
2017-01-31,0,0,0,0,0.0,0.0,0
2017-02-02,0,0,0,0,0.5,0.15,0
2017-02-24,0,0,0,0,0.0,0.0,0
2017-02-27,0,0,0,0,0.0,0.0,0
2017-03-01,0,0,0,0,0.1,0.0,0
2017-03-17,0,0,0,0,0.05,0.0,0
2017-03-28,0,0,0,0,0.1,0.0,0
2017-06-14,0,0,0,0,0.0,0.0625,0
2017-06-26,0,1,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,0.0,0
2017-08-08,0,0,0,0,0.0,0.625,0
2017-08-22,0,0,0,0,0.5,0.875,0
2017-09-07,0,0,0,0,-0.125,1.075,0
2017-10-17,0,0,0,0,0.0,0.0,0
2017-10-18,0,0,0,0,0.0,0.0,0
2017-10-20,0,0,0,0,0.25,0.5,0
2017-10-23,0,0,0,0,0.3,0.2,0
2017-10-24,0,0,0,0,0.1,0.1,0
2017-10-26,0,0,0,0,0.625,1.05,0
2017-10-27,0,1,0,0,0.1,0.1,0
2017-10-30,0,1,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.0,0.0,0
2017-11-01,0,0,0,0,0.0,0.0,0
2017-11-02,0,1,0,0,0.0,0.0,0
2017-11-03,0,0,0,0,0.0,0.2,0
2017-11-04,0,0,0,0,0.0,0.0,0
2017-11-05,0,0,0,1,0.0,0.0,0
2017-11-06,0,0,0,0,0.0,0.0,0
2017-11-08,0,1,0,0,-0.133333333333,0.233333333333,0
2017-11-09,0,0,0,0,1.5,1.5,0
2017-11-11,0,0,0,0,0.0,0.0,0
2017-11-12,0,0,0,0,0.566666666667,1.4,0
2017-11-13,0,0,0,0,0.244444444444,2.39444444444,0
2017-11-14,0,0,0,0,-0.4,0.7,0
2017-11-15,0,0,0,0,0.25,0.916666666667,0
